N,topic,malfunction,cause,elimination
6,Дизель,"При нажатии кнопки ""Пуск дизеля"" маслопрокачивающий насос не работает.",Заедание щеток в щеткодержателях электродвигателя маслопрокачивающего насоса,Устранить заедание щеток.
7,Дизель,"Контактор масляного насоса включился, но маслопрокачивающий насос не работает.",Перегорел предохранитель в цепи электродвигателя ПР-4 (вставка 125 А).,Необходимо заменить предохранитель ПР-4(вставка 125 А).
8,Дизель,"Разбирается цепь пусков, т.е. отключатся контакторы КТН и КМН",Перегорание плавкой вставки предохранителя ПР-4 цепи масляного насоса или ПР-5 в цепи топливного насоса из-за заклинивания вала насоса или КЗ.,"Необходимо заменить вставку ПР-5 или ПР-4. Устранить заклинивание вала насоса. Визуально осмотреть электродвигатель на предмет термического повреждения, по возможности устранить КЗ."
9,Дизель,Низкое давление масла в системе смазки.,Пониженная вязкость масла вследствие его перегрева.,"Проверить работу вентиляторов и открытие жалюзи. Снизить температуру масла, переводом секции на холостой ход."
9,Дизель,Низкое давление масла в системе смазки.,Пониженная вязкость масла вследствие попадания топлива или охлаждающей жидкости.,"Проверить уровень масла в картере дизеля, при повышении уровня, остановить дизель, при отрицательной температуре наружного воздуха, слить охлаждающую воду."
9,Дизель,Низкое давление масла в системе смазки.,Пропуск масла по соединениям трубопровода.,"Устранить утечки масла в трубопроводе масляной системы. При уровне масла ниже минимальной отметки остановить дизель, при отрицательной температуре наружного воздуха, слить охлаждающую воду."
9,Дизель,Низкое давление масла в системе смазки.,Недостаточное количество масла в картере дизеля,"Проверить уровень масла в картере дизеля. При уровне масла ниже минимальной отметки остановить дизель, при отрицательной температуре наружного воздуха, слить охлаждающую воду."
10,Дизель,"Появление давления в картере (показания дифманометра, дымление из заливной горловины, повышенная течь масла по местам соединений и люкам).","Неисправен поршень (имеется трещина или прогар, разрушение уплотнительных колец)","Немедленно остановить дизель. При отрицательной температуре наружного воздуха, слить охлаждающую воду."
11,Дизель,"Посторонний стук, внезапно возникший при работе дизеля.",Неисправность шатунно-поршневой группы.,"Немедленно остановить дизель. При отрицательной температуре наружного воздуха, слить охлаждающую воду."
12,Дизель,"Дизель-генератор не запускается, в процессе запуска, вал силового сервомотора регулятора дизеля не перемещается на подачу топлива",Нарушена связь УОИ и электронного регулятора частоты вращения дизеля или нет питания на регулятор.,Проверить кабель связи УОИ и ЭРЧМ30Т.
13,Дизель,Неустойчивая работа дизеля на холостом ходу.,"Тугой ход привода к топливным насосам, заедание рейки ТНВД.",Отключить неисправный ТНВД.
14,Дизель,Частота вращения коленчатого вала дизеля по позициям не соответствует номинальной.,Возможно нарушение контакта в фишке объединенного регулятора.,Проверить крепление разъема фишки объединенного регулятора.
14,Дизель,Частота вращения коленчатого вала дизеля по позициям не соответствует номинальной.,Неисправность ТНВД.,"Отключить неисправные ТНВД, но не более двух."
15,Дизель,Повышенная течь топлива из сливной трубки форсунки или топливного насоса.,Неисправность ТНВД или форсунки.,"Отключить неисправный ТНВД, но не более двух."
16,Дизель,Невозможность продолжения движения из-за низкого давления топлива на 15 позиции контроллера машиниста.,Загрязнение топливных фильтров.,Включить виртуальным тумблером топливоподкачивающий агрегат в постоянный режим работы. После прибытия в депо необходимо промыть топливные фильтра.
17,Дизель,В отдельном цилиндре понизилась температура выпускных газов и давление сгорания.,Неисправность ТНВД или форсунки.,Отключить неисправный ТНВД.
18,Дизель,Дизель идет в разнос.,Нарушен привод регулятора дизеля.,"Заглушить дизель. При отрицательной температуре наружного воздуха, слить охлаждающую воду."
19,Дизель,Снижение уровня воды в расширительном баке.,Утечка воды из системы охлаждения.,"Немедленно снять нагрузку и остановить дизель. Выяснить причину утечки, при возможности устранить. При невозможности, при отрицательной температуре наружного воздуха, слить охлаждающую воду."
20,Дизель,"Снимается нагрузка, появляется тревожное сообщение о сбросе нагрузки. Сработали термореле воды или масла.",Перегрев воды охлаждения дизеля или масла.,"Проверить работу вентиляторов и открытие жалюзи холодильной камеры. Если жалюзи не открываются автоматически, открыть их вручную."
20,Дизель,"Снимается нагрузка, появляется тревожное сообщение о сбросе нагрузки. Сработали термореле воды или масла.",Перегрев воды охлаждения дизеля или масла.,"Проверить уровень воды в расширительном баке. При отрицательной температуре наружного воздуха и отсутствия требуемого уровня охлаждающей жидкости в расширительном баке, охлаждающую жидкость слить."
21,Дизель,"При следовании тепловоза произошел сброс нагрузки с появлением тревожного сообщения ""Срыв шестерни ТЭД""","Проворот малой шестерни на валу ТЭД, излом зубьев шестерен зубчатой передачи.",Отключить неисправный ТЭД выключателем ОМ-1...ОМ-6.
22,Электрооборудование,Перегорание плавкой вставки предохранителя ПР4 в цепи масляного насоса или ПР5 в цепи топливного насоса,Заклинивание вала насоса или короткое замыкание,"Устранить заклинивание, причину короткого замыкания, заменить плавкую вставку ПР4 или ПР5"
23,Электрооборудование,"При включении виртуального тумблера ""Топливный насос"" не работает топливный насос.",Перегорел предохранитель ПР5 (вставка 25А),Заменить предохранитель
23,Электрооборудование,"При включении виртуального тумблера ""Топливный насос"" не работает топливный насос.",Заедание щеток в щеткодержателях электродвигателя топливоподкачивающего насоса,"Устранить ""заедание"" щеток"
24,Электрооборудование,"При нажатии на кнопку ""Пуск дизеля"" маслопрокачивающий насос не работает",Перегорел предохранитель ПР4 (вставка 125 А),Заменить предохранитель
24,Электрооборудование,"При нажатии на кнопку ""Пуск дизеля"" маслопрокачивающий насос не работает",Заедание щеток в щеткодержателях электродвигателя маслопрокачивающего насоса,"Устранить ""заедание"" щеток"
25,Электрооборудование,"Произошел сброс нагрузки и тревожного сообщения ""Пробой силовой цепи (РЗ)""",Пробой изоляции силовой цепи,"Выявить неисправный ТЭД.
Отключить соответствующий."
26,Электрооборудование,При автоматическом управлении холодильной камерой не включается: боковые жалюзи верхние жалюзи),Обрыв цепей электропневматических вентилей; Нарушение работы механизма открытия жалюзи или магистрали подвода воздуха,Устранить обрыв. Откройте жалюзи ручным приводом. Контролировать температуру теплоносителей по показаниям на дисплее.
26,Электрооборудование,Электродвигатели вентиляторов,Отключились автоматические выключатели QF1-QF4.,Необходимо повторно включить автоматические выключатели.
26,Электрооборудование,При ручном (дистанционном) управлении холодильной камерой не включаются жалюзи и электродвигатели вентиляторов,"Нарушен контакт тумблера ""УПРАВЛЕНИЕ ХОЛОДИЛЬНИКОМ"" в положении ""ручное"";
Нарушен контакт в тумблере Т1 - Т4 или в штепсельном разъеме.",Открыть жалюзи ручным приводом. Восстановить контакт. Проверить правильность включения автоматических выключателей QF1-QF4.
27,Электрооборудование,Компрессор не запускается при низком давлении в питательной магистрали,Не работает датчик давления питательной магистрали ВР18.,Проверить датчик. В случае его поломки возможно производить пуск компрессора вручную.
27,Электрооборудование,Компрессор не запускается при низком давлении в питательной магистрали,Отсутствует сигнал готовности компрессора,В случае пропадания сигнала из-за перегрева масла отключить компрессор (при помощи автоматического выключателя АМК) дождитесь остывания масла (восстановиться сигнал готовности компрессора) и повторно включить компрессор в работу (автоматом АМК). После запуска компрессора проверьте работу вентилятора охлаждения.
27,Электрооборудование,Компрессор не запускается при низком давлении в питательной магистрали,"Появление тревожного сообщения ""Ток мотор-компрессора > max! Компрессор выключен""",Большой ток приводного электродвигателя компрессора. Осмотреть компрессор на отсутствие повреждений. Перезапустить компрессор путем отключения и последующего включения автоматических выключателей SF20 и АМК. При повторении данной ошибки отключить компрессор.
28,Электрооборудование,"Отсутствует заряд аккумуляторной батареи:
1) не включается контактор КРН
2) контактор КРН включается",Подгорел главный замыкающий контакт контактора КРН,"Восстановить контакт, зачистив его ""бархатным"" напильником"
28,Электрооборудование,"Отсутствует заряд аккумуляторной батареи:
1) не включается контактор КРН
2) контактор КРН включается",Перегорание плавкой вставки предохранителя ПР-2 на 160 А,Замените вставку ПР-2 на 160 А.
29,"В УОИ сигнал о давлении масла с датчика ВР2 меньше 0,65 кг/см2*","Прекращение запуска дизеля.
(Малое давление масла (BP2))",Низкий уровень масла,"Проверить уровень масла, при низком уровне долить."
29,"В УОИ сигнал о давлении масла с датчика ВР2 меньше 0,65 кг/см2*","Прекращение запуска дизеля.
(Малое давление масла (BP2))",Неисправность масляной системы,"Проверить уровень масла, при низком уровне долить."
29,"В УОИ сигнал о давлении масла с датчика ВР2 меньше 0,65 кг/см2*","Прекращение запуска дизеля.
(Малое давление масла (BP2))",Неисправен датчик,"Проверить уровень масла, при низком уровне долить."
30,Автоматически не запустился дизель,"Отключение режима Автопрогрева
(АВАРИЯ АВТОПРОГРЕВа)",Не выполнены все условия для запуска дизеля,Определить причину отсутствия запуска дизеля.
30,Автоматически не запустился дизель,"Отключение режима Автопрогрева
(АВАРИЯ АВТОПРОГРЕВа)",Неисправность дизеля или системы впрыска,Определить причину отсутствия запуска дизеля.
31,"В режиме ""Тяги/ЭДТ"" в УОИ сигнал о включении/выключении ОМ","Сброс нагрузки
(Переключение ОМ1)
(Переключение ОМ2)
(Переключение ОМ3)
(Переключение ОМ4)
(Переключение ОМ5)
(Переключение ОМ6)",ОМ переключен,"Переключение тумблера ОМ нужно производить только в режиме ""Холостого хода""."
31,"В режиме ""Тяги/ЭДТ"" в УОИ сигнал о включении/выключении ОМ","Сброс нагрузки
(Переключение ОМ1)
(Переключение ОМ2)
(Переключение ОМ3)
(Переключение ОМ4)
(Переключение ОМ5)
(Переключение ОМ6)",Обрыв/неисправность проводов к ОМ,"Переключение тумблера ОМ нужно производить только в режиме ""Холостого хода""."
31,"В режиме ""Тяги/ЭДТ"" в УОИ сигнал о включении/выключении ОМ","Сброс нагрузки
(Переключение ОМ1)
(Переключение ОМ2)
(Переключение ОМ3)
(Переключение ОМ4)
(Переключение ОМ5)
(Переключение ОМ6)",Неисправность платы БОДД (ПВДД) УОИ,"Переключение тумблера ОМ нужно производить только в режиме ""Холостого хода""."
32,"В режиме ""ЭДТ"" в УОИ сигнал о давлении воздуха в ТЦ более 0,5 атм.","Разбор схемы ЭДТ
(Включен пневмотормоз при работе ЭДТ)",Есть давление в ТЦ,В режиме ЭДТ использование крана машиниста (условный 215) запрещено.
32,"В режиме ""ЭДТ"" в УОИ сигнал о давлении воздуха в ТЦ более 0,5 атм.","Разбор схемы ЭДТ
(Включен пневмотормоз при работе ЭДТ)",Неисправность цепей датчиков давления,В режиме ЭДТ использование крана машиниста (условный 215) запрещено.
32,"В режиме ""ЭДТ"" в УОИ сигнал о давлении воздуха в ТЦ более 0,5 атм.","Разбор схемы ЭДТ
(Включен пневмотормоз при работе ЭДТ)",Неисправна плата БОАД/ ПВАД/ БПД1 УОИ,В режиме ЭДТ использование крана машиниста (условный 215) запрещено.
33,В режиме тяги на ведомой секции присутствует сигнал от БУ,"Запрет сбора схемы тяги
(Проблемы с блокировками пневмотормоза)",БУ на 2-ой секции включена,Проверить отключение БУ на 2-ой секции. Включить блокировку управления и отключить заново. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
33,В режиме тяги на ведомой секции присутствует сигнал от БУ,"Запрет сбора схемы тяги
(Проблемы с блокировками пневмотормоза)",Наличие +110В на проводе от БУ к УОИ,Проверить отключение БУ на 2-ой секции. Включить блокировку управления и отключить заново. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
33,В режиме тяги на ведомой секции присутствует сигнал от БУ,"Запрет сбора схемы тяги
(Проблемы с блокировками пневмотормоза)",Неисправность платы БОДД (ПВДД) УОИ,Проверить отключение БУ на 2-ой секции. Включить блокировку управления и отключить заново. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
34,В режиме тяги на ведущей секции отсутствует сигнал от БУ в УОИ,"Запрет сбора схемы тяги
(Заблокирован пневмотормоз)",БУ отключена,Проверить включение БУ. Отключить блокировку управления и включить заново. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
34,В режиме тяги на ведущей секции отсутствует сигнал от БУ в УОИ,"Запрет сбора схемы тяги
(Заблокирован пневмотормоз)",Нет +110В или обрыв провода от БУ к УОИ,Проверить включение БУ. Отключить блокировку управления и включить заново. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
34,В режиме тяги на ведущей секции отсутствует сигнал от БУ в УОИ,"Запрет сбора схемы тяги
(Заблокирован пневмотормоз)",Неисправность платы БОДД (ПВДД) УОИ,Проверить включение БУ. Отключить блокировку управления и включить заново. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
35,В режиме тяги при отключении одного ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 13.
(Ограничение позиции отключен один ТЭД)",Отключены два ТЭД,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на четырех ТЭД ограничение не выше 13ПК)."
35,В режиме тяги при отключении одного ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 13.
(Ограничение позиции отключен один ТЭД)",Неисправность ОМ,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на четырех ТЭД ограничение не выше 13ПК)."
35,В режиме тяги при отключении одного ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 13.
(Ограничение позиции отключен один ТЭД)",Обрыв/неисправность проводов к ОМ,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на четырех ТЭД ограничение не выше 13ПК)."
35,В режиме тяги при отключении одного ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 13.
(Ограничение позиции отключен один ТЭД)",Неисправность платы БОДД (ПВДД) УОИ,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на четырех ТЭД ограничение не выше 13ПК)."
36,В режиме тяги при отключении двух ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 11.
(Ограничение позиции отключено два ТЭД)",Отключены два ТЭД,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на пяти ТЭД ограничение не выше 11ПК)."
36,В режиме тяги при отключении двух ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 11.
(Ограничение позиции отключено два ТЭД)",Неисправность ОМ,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на пяти ТЭД ограничение не выше 11ПК)."
36,В режиме тяги при отключении двух ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 11.
(Ограничение позиции отключено два ТЭД)",Обрыв/неисправность проводов к ОМ,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на пяти ТЭД ограничение не выше 11ПК)."
36,В режиме тяги при отключении двух ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 11.
(Ограничение позиции отключено два ТЭД)",Неисправность платы БОДД (ПВДД) УОИ,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на пяти ТЭД ограничение не выше 11ПК)."
37,В режиме тяги при отключении трёх ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 8.
(Ограничение позиции отключено три ТЭД)",Отключены два ТЭД,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на трех ТЭД ограничение не выше 8ПК)."
37,В режиме тяги при отключении трёх ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 8.
(Ограничение позиции отключено три ТЭД)",Неисправность ОМ,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на трех ТЭД ограничение не выше 8ПК)."
37,В режиме тяги при отключении трёх ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 8.
(Ограничение позиции отключено три ТЭД)",Обрыв/неисправность проводов к ОМ,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на трех ТЭД ограничение не выше 8ПК)."
37,В режиме тяги при отключении трёх ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 8.
(Ограничение позиции отключено три ТЭД)",Неисправность платы БОДД (ПВДД) УОИ,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на трех ТЭД ограничение не выше 8ПК)."
38,В режиме тяги при отключении четырёх ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 5.
(Ограничение позиции отключено три ТЭД)",Отключены два ТЭД,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на двух ТЭД ограничение не выше 5ПК)."
38,В режиме тяги при отключении четырёх ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 5.
(Ограничение позиции отключено три ТЭД)",Неисправность ОМ,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на двух ТЭД ограничение не выше 5ПК)."
38,В режиме тяги при отключении четырёх ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 5.
(Ограничение позиции отключено три ТЭД)",Обрыв/неисправность проводов к ОМ,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на двух ТЭД ограничение не выше 5ПК)."
38,В режиме тяги при отключении четырёх ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 5.
(Ограничение позиции отключено три ТЭД)",Неисправность платы БОДД (ПВДД) УОИ,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на двух ТЭД ограничение не выше 5ПК)."
39,В режиме тяги при отключении пяти ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 3.
(Ограничение позиции отключено три ТЭД)",Отключены два ТЭД,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на одном ТЭД ограничение не выше 3ПК)."
39,В режиме тяги при отключении пяти ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 3.
(Ограничение позиции отключено три ТЭД)",Неисправность ОМ,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на одном ТЭД ограничение не выше 3ПК)."
39,В режиме тяги при отключении пяти ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 3.
(Ограничение позиции отключено три ТЭД)",Обрыв/неисправность проводов к ОМ,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на одном ТЭД ограничение не выше 3ПК)."
39,В режиме тяги при отключении пяти ТЭД,"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 3.
(Ограничение позиции отключено три ТЭД)",Неисправность платы БОДД (ПВДД) УОИ,"Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на одном ТЭД ограничение не выше 3ПК)."
40,"В ручном режиме САРТ при температуре окружающего воздуха меньше 0°С и температуре воды горячего контура меньше 40°С, неисправность датчиков воды","Предупреждение!
(Внимание! Возможно переохлаждение дизеля)",Неисправны датчики воды в ручном режиме САРТ,Обратить внимание. Предпринять меры по предотвращению переохлаждения дизеля.
40,"В ручном режиме САРТ при температуре окружающего воздуха меньше 0°С и температуре воды горячего контура меньше 40°С, неисправность датчиков воды","Предупреждение!
(Внимание! Возможно переохлаждение дизеля)",Температура окружающего воздуха < 0°С и температура воды горячего контура < 40°С в ручном режиме САРТ,Обратить внимание. Предпринять меры по предотвращению переохлаждения дизеля.
41,В УОИ неверный сигнал с дискретного датчика тормозного переключателя,"Разбор тяги/тормоза или предупреждение в режиме х/х
(Авария тормозного переключателя (ТП))",Ложный сигнал от дискретного датчика тормозного переключателя,"Проверить состояние блок-контактов тормозного переключателя. Проверьте установку платы БОДД, перезагрузите УОИ, если не помогает - вызовите вспомогательный локомотив."
41,В УОИ неверный сигнал с дискретного датчика тормозного переключателя,"Разбор тяги/тормоза или предупреждение в режиме х/х
(Авария тормозного переключателя (ТП))",Неисправность блок-контакта,"Проверить состояние блок-контактов тормозного переключателя. Проверьте установку платы БОДД, перезагрузите УОИ, если не помогает - вызовите вспомогательный локомотив."
41,В УОИ неверный сигнал с дискретного датчика тормозного переключателя,"Разбор тяги/тормоза или предупреждение в режиме х/х
(Авария тормозного переключателя (ТП))",Наличие +110В в проводе от блок-контакта к УОИ в режиме тяги,"Проверить состояние блок-контактов тормозного переключателя. Проверьте установку платы БОДД, перезагрузите УОИ, если не помогает - вызовите вспомогательный локомотив."
41,В УОИ неверный сигнал с дискретного датчика тормозного переключателя,"Разбор тяги/тормоза или предупреждение в режиме х/х
(Авария тормозного переключателя (ТП))",Отсутствие +110В в проводе от блок-контакта к УОИ в режиме тормоза,"Проверить состояние блок-контактов тормозного переключателя. Проверьте установку платы БОДД, перезагрузите УОИ, если не помогает - вызовите вспомогательный локомотив."
