N,topic,malfunction,cause,elimination
6,Цепи главного выключателя (ГВ),Отключение ГВ на одной из секций со срабатыванием РП1 - РП4 в цепи реле 264 в режиме тяги.,Сработало реле перегрузки ТЭД РП1 - РП4 в цепи реле 264,Неисправный ТЭД отключить разъединителем ОД1 - ОД4 и продолжить движение на исправных ТЭД
7,Цепи главного выключателя (ГВ),При следовании с поездом отключается ГВ и загораются лампы РЗ и РП,Неисправный ТЭД.,"Допустимо дважды восстанавливать защиту для попытки вывести поезд на низших позициях. Если защиту восстановить невозможно, то по блинкеру РП определить неисправный двигатель, отключить его разъединителем ОД1 - ОД4 и продолжить движение на исправных ТЭД."
8,Цепи главного выключателя (ГВ),"Сработало дифференциальное реле БРД, отключился ГВ и загорелась лампа ВУ",Короткое замыкание в плече выпрямительной установки.,"Отключить неисправную выпрямительную установку разъединителями 81, 82 и продолжить движение на исправной ВУ."
9,Цепи линейных контакторов 51 - 54,"При включенной кнопке ""Цепи управления"" и положении главного вала контроллера в положении АВ контакторы 51-54 не включаются на обеих секциях","Отключен автомат ""Цепь управления"".","Включите в кабине управления автомат ВА - 2 ""Цепь управления""."
9,Цепи линейных контакторов 51 - 54,"При включенной кнопке ""Цепи управления"" и положении главного вала контроллера в положении АВ контакторы 51-54 не включаются на обеих секциях",Не включено устройство блокировки тормозов 213.,"Включите в кабине управления устройство
блокировки тормозов 213."
9,Цепи линейных контакторов 51 - 54,"При включенной кнопке ""Цепи управления"" и положении главного вала контроллера в положении АВ контакторы 51-54 не включаются на обеих секциях",Не включен ЭПК в кабине управления.,Включите в кабине управления ЭПК.
10,Цепи линейных контакторов 51 - 54,На одной из секций линейные контакторы 51-54 не включаются,"Не отключились реле 270. Не включены разъединители ОД1-ОД4, 81, 82.
Не включены контакторы 129, 130, 133.
Обрыв цепи питания линейных контакторов","Проверьте положение разъединителей ОД1-ОД4, 81, 82 (разъединители должны быть включены).
Проверьте включение контакторов 129, 130, 133.
При невозможности быстрого определения места обрыва цепи питания ЛК отключите аварийную секцию, следовать на исправной."
11,Цепи управления,Вал группового переключателя не вращается,Неисправен групповой переключатель,Отключить неисправную секцию и следовать на исправной секции.
12,Цепи управления,"При переводе главной рукоятки контроллера машиниста из нулевого положения в одно из рабочих положений не включаются контакторы тяговых двигателей, лампа ТД не гаснет","Не включена локомотивная сигнализация.
Не перешел в конечное положение один из реверсоров, тормозных переключателей, переключатели потока воздуха; блокировочный переключатель.
ЭКГ не перешел в нулевое положение.
Нарушен контакт в цепи блокировок контактора мотор-вентиляторов МВЗ, МВ4.
Не включены разъединители двигателей ОД1-ОД4
Не включены разъединители выпрямительной установки 81, 82.","Поверните ключ ЭПК в крайнее левое положение.
Несколько раз переключите аппараты из одного положения в другое, действуя при этом реверсивной и главной рукоятками. Проверьте по указателю позиций, на какой позиции находится ГП. Если ГП не дошел до нулевой позиции, то произвести набор и сброс позиций ГП.
Осмотрите блокировки контакторов мотор-вентиляторов, проверьте, включены ли разъединители ОД1-ОД4 двигателей и разъединители вентилей 81, 82."
13,Цепи управления,"Контакторы 208, 206 включены, ЭКГ не вращается, не слышен шум воздуха, проходящего через контакторы А, Б, В, Г, так как нет питания на дугогасительеных вентилях 221, 222",Перегорел предохранитель на РЩ в цепи провода Н49 (в цепи серводвигателя).,Перегоревший предохранитель замените.
14,Цепи управления,"Серводвигатель вращается, а вал ЭКГ стоит на месте.",Неисправна предельная муфта ЭКГ.,Переключателем режимов отключите неисправную секцию.
15,Неисправность в цепи АБ,"Изменился накал ламп, упало напряжение в цепях управления.","Неисправен ТРПШ, перегорел предохранитель в первичной обмотке или вторичной обмотке ТРПШ.","Выключателем ВА-22 ""Включение РЩ"" на блоке 216 отключите РЩ, рубильник 3Р установите в нижнее положение; цепи управления обеих секций получают питание от ТРПШ другой секции."
16,Неисправность в цепи АБ,Перегорел предохранитель в цепи аккумуляторной батареи на РЩ.,Короткое замыкание в цепи управления. Большой зарядный или разрядный ток батареи (вследствие неправильной регулировки регулятора напряжения).,"Автоматом ВА22 на блоке 216 отключите РЩ, рубильник ЗР установите в нижнее положение. Цепи управления обеих секций получают питание от ТРПШ другой секции."
17,Неисправность в цепи АБ,Батарея не дает напряжения.,"Обрыв или перегорание перемычек между отдельными банками. Обрыв одного из проводов, идущих от батареи к нижним зажимам предохранителей батареи.","Автоматом ВА22 на блоке 216 отключите РЩ, рубильник ЗР установите в нижнее положение. Цепи управления обеих секций получают питание от ТРПШ другой секции."
18,Неисправность в цепи АБ,Низкое напряжение в цепях управления.,Вышла из строя батарея одной из секций.,"Переключите рубильник ЗР на распределительном щите этой секции в нижнее положение, что обеспечит питание неисправной секции от исправной батареи другой секции."
19,Цепи вспомогательных машин,Прекратилась работа вспомогательных машин одной из секций.,Неисправен фазорасщепитель или цепи его управления.,"Отключите вспомогательные машины и проверьте тепловые реле защиты фазорасщепителя этой секции, а также неисправность цепи катушек контактора 125. Если после этого фазорасщепитель не запустится, то перейдите на работу по схеме резервирования фазорасщепителей.
Запуск вспомогательных машин производить в следующей последовательности: МВ-2, МВ-3, МВ-4, МВ-1, МК."
20,Цепи вспомогательных машин,Сработало токовое реле 113 или реле заземления вспомогательных машин.,"Неисправна одна из вспомогательных машин или где-то произошло замыкание на ""землю"".","Отключите все вспомогательные машины, запустите фазорасщепитель, а затем поочередно включайте все вспомогательные машины и нагрузки. Цепь, при включении которой сработает реле, неисправна. Отключите поврежденную вспомогательную машину на щитке параллельной работы и продолжайте движение в аварийном режиме."
20,Цепи вспомогательных машин,Сработало токовое реле 113 или реле заземления вспомогательных машин.,"Неисправен мотор - компрессор, загорелась лампа МК.",Работу продолжайте при работающем компрессоре исправной секции.
20,Цепи вспомогательных машин,Сработало токовое реле 113 или реле заземления вспомогательных машин.,Поврежден мотор - вентилятор системы охлаждения выпрямительных установок и тормозных сопротивлений.,Отключите соответствующую выпрямительную установку и продолжайте работу секции от одной установки.
20,Цепи вспомогательных машин,Сработало токовое реле 113 или реле заземления вспомогательных машин.,Неисправен мотор-вентилятор системы охлаждения двигателей.,Отключите соответствующие мотор-вентиляторы на щитке параллельной работы и продолжите движение.
20,Цепи вспомогательных машин,Сработало токовое реле 113 или реле заземления вспомогательных машин.,Неисправен мотор-насос МН системы охлаждения трансформатора.,"Работа секции возможна со сниженной нагрузкой и при тщательном соблюдении режима нагрева масла по термометру на трансформаторе.
Наибольшая допустимая температура масла +95оС."
21,Цепи вспомогательных машин,"Загорелась одна из сигнальных ламп МК, МВ1 - МВ4, МН, отключилась одна из вспомогательных машин.",Неисправно реле ТРТ.,"Опустите токоприемник, разблокируйте ВВК и осмотрите ТРТ в цепи отключенного двигателя (определите по звуку).
Перейдите на работу по аварийной схеме и продолжайте движение."
21,Цепи вспомогательных машин,"Загорелась одна из сигнальных ламп МК, МВ1 - МВ4, МН, отключилась одна из вспомогательных машин.",Неисправная силовая или низковольтная часть или нарушен контакт в контактах реле ТРТ.,"Если неисправность обнаружить и устранить в пути нельзя, то перейдите на работу по аварийной схеме и продолжайте движение."
21,Цепи вспомогательных машин,"Загорелась одна из сигнальных ламп МК, МВ1 - МВ4, МН, отключилась одна из вспомогательных машин.","Межвитковое замыкание в обмотке статора или между двумя катушками одной или соседних фаз. Длительная работа электродвигателя при сильно пониженном напряжении в контактной сети (менее 18 кВ).
Работа электродвигателя при перезагрузке.","При срабатывании ТРТ из-за неисправности двигателя можно допустить только однократно повторное включение электродвигателя.
Отключите этот двигатель соответствующей кнопкой на щитке параллельной работы, перейти на аварийный режим работы, а после этого продолжайте движение."
22,Цепи вспомогательных машин,"Отключился ГВ, загорелась сигнальная лампа ГВ.",Сработало реле 113 (при КЗ и перегрузках в цепи вспомогательных машин).,"Реле 113 часто срабатывает при отсутствии КЗ в цепи вспомогательных машин, в случае проследования воздушных стрелок контактной сети, приема на боковой путь (происходит кратковременный обрыв цепи токоприемника), следование по перегону с наибольшей скоростью при сильных ветрах и гололеде, т.е. когда происходит отрыв токоприемника, сопровождаемый горением дуги. О срабатывании реле 113 указывает блинкер реле.
После выключения ГВ отключите все вспомогательные машины и снова включите ГВ. Если после этого ГВ не включается, то произошло КЗ в цепи вспомогательных машин. Перейти на работу одной секцией."
23,Цепи вспомогательных машин,"Короткое замыкание в цепи тяговых двигателей. Срабатывает реле перегрузки, блок дифференциальных реле БРД.","Неисправен реверсор, сопротивление ослабления поля замкнулось на корпус, неисправен ТЭД.",При срабатывании какого-либо РП с выпадением блинкера отключить соответствующим разъединителем ОД1-ОД4 неисправный двигатель и продолжить движение на исправных ТЭД.
24,Цепи вспомогательных машин,Срабатывает реле перегрузки какого-либо двигателя,"Неисправен двигатель, неисправно реле перегрузки (заедает подвижная система реле, ослабла затяжка пружины), неисправно промежуточное реле 264.","При срабатывании реле допустимо дважды попытаться вывести состав с перегона на низших позициях группового переключателя. Если срабатывание реле перегрузки продолжается, то по флажку реле определите двигатель, в цепи которого срабатывает защита, отключите поврежденный двигатель и продолжите движение на исправных ТЭД."
