N,topic,malfunction,cause,elimination
7,"Пуск дизеля
Не запускается дизель",При включении пусковых контакторов раскручивания коленвала дизеля нет.,"Неисправна АБ (или потеряна ёмкость АБ, при этом напряжение АБ падает до ""0"").","В случае неисправности АБ на одной из секций можно запустить дизель от стартер-генератора другой секции.
Для этого:
выключить рубильник ""ВБ"" на неисправной секции;
расклинить гл.к. Д1 на обеих секциях токопроводящими предметами (например электрощётки);
запускать обычным порядком;
помогать выдвижению реек.
В случае осуществления запуска дизеля от АБ другого тепловоза, кабеля соединить с ножами
рубильника ""ВБ"": правый с правым; левый с левым."
8,Дизель,Повышенная течь топлива из сливной трубки форсунки или топливного насоса,Вышел из строя топливный насос или форсунка,Отключить неисправный ТНВД.
9,Дизель,Снижение уровня воды в расширительном баке,Утечка воды из системы,"Немедленно снять нагрузку и остановить дизель, выяснить причину утечки при возможности устранить, при невозможности, при отрицательной температуре наружного воздуха расхолодить дизель и систему охлаждения согласно местных инструкций, следовать одной секции."
10,Дизель,Неустойчивая работа дизеля на холостом ходу,"Тугой ход привода к топливным насосам, заедание рейки ТНВД.",Отключить неисправный ТНВД.
11,Дизель,Дизель сбрасывает нагрузку при переводе контроллера с 11 на 12 позицию контроллера машиниста.,Низкое давление масла в системе дизеля или неисправен РДМ-2,Следовать на 11 позиции контроллера машиниста.
12,Дизель,Дизель идет в разнос,Попадание масла в воздушный ресивер.,"Заглушить дизель кнопкой аварийной остановки, слить масло с ресивера."
13,Дизель,После пуска дизеля нет заряда аккумуляторной батареи.,Перегорел предохранитель ПР-4 на 160А стартер - генератора,Заменить предохранитель
13,Дизель,КРН не включился (нет холостого хода),"Неисправность в цепи управления КРН:
Не отключились Д1, Д2","Отключить Д1, Д2."
13,Дизель,КРН включился,Включился РЗН,Снять с защёлки РЗН
13,Дизель,КРН включился,Неисправен РН (регулятор напряжения),"Подзарядку А.Б. можно осуществить от стартер-генератора исправной секции:
расклинить гл.к. Д1 на обеих секциях токопроводящими предметами (например электрощётки)."
14,Дизель,"Снимается нагрузка, загорается сигнальная лампа ""Сброс нагрузки"". Сработали термореле воды и масла.","1.Перегрев воды охлаждения дизеля или масла.
2.Не открываются жалюзи.
3.Неисправность термореле","Проверить работу вентиляторов и жалюзи холодильника.
Перейти на ручное управление открытия жалюзей."
14,Дизель,"Снимается нагрузка, загорается сигнальная лампа ""Сброс нагрузки"". Сработали термореле воды и масла.",Сработали автоматы электродвигаталей охлаждения.,"Произвести включение автоматов при отключенном автомате А4 ""Управление возбуждением"""
14,Дизель,"Снимается нагрузка, загорается сигнальная лампа ""Сброс нагрузки"". Сработали термореле воды и масла.",Неисправны электродвигатели охлаждения.,Проверить работу мотор-вентиляторов холодильника. При неисправности отключить соответствующий автомат и закрыть верхние жалюзи над мотор-вентилятором. Перейти на пониженные позиции.
15,Дизель,Вышел из строя топливоподкачивающий агрегат,"Неисправен электродвигатель.
Заклинил топливный нанос.
Разрушение упругого элемента муфты",Отключить топливоподкачивающий агрегат неисправной секции и следовать на аварийном питании дизеля без нагрузки дизеля.
15,Дизель,Топливный насос (на дизеле) и топливоподкачивающий насос не создают нормального давления,Низкая температура топлива,Проверить работу и включение топливоподогревателя.
16,Дизель,"При работе топливоподкачивающего агрегата отсутствует давление топлива, стрелки манометров давления топлива вибрируют на щитке приборов в дизельном помещении.",Попадание воздуха в топливную систему.,При работающем топливоподкачивающем насосе открыть вентиль на нагнетательной трубе и пробку на фильтре тонкой очистки топлива и выпустить воздух.
17,Дизель,"Перепад по ФГО более 1,5 кгс/см2",Загрязнение фильтрующих элементов,"Перейти на низшие позиции.
При прогрессирующем перепаде работа дизеля запрещена."
18,Дизель,"Перепад по фильтрам Болл-Кирх более 2,0 кгс/см2 при наличии красного сектора на указателе.",Загрязнение фильтрующих элементов,"Перейти на низшие позиции.
При прогрессирующем перепаде работа дизеля запрещена."
19,Дизель,Малая мощность дизеля,"Неисправен блок УВВ кремниевых выпрямителей, вышел из строя БУВ.","При неисправности БУВ перейти на второй полукомплект, при не восстановлении мощности перейти на аварийное возбуждение переключив рубильник."
20,"Неисправности тепловоза в режиме ""Тяга/Тормоз""",На первой позиции КМ не нагружаются обе секции.,"Неисправность в ПУ ведущей секции на участке от автомата А1 ""Управление общее"" до пальцев реверсора ""Вперёд - Назад"".
Если при наборе позиций дизель обороты не развивает сработал или не включен автомат А1 ""Управление общее""","Включить автомат А1 ""Управление общее""."
20,"Неисправности тепловоза в режиме ""Тяга/Тормоз""",На первой позиции КМ не нагружаются обе секции.,Отсутствует контакт в БУ N 367,Проверить включение БУ N 367
20,"Неисправности тепловоза в режиме ""Тяга/Тормоз""",На первой позиции КМ не нагружаются обе секции.,"Если при наборе позиций дизель обороты развивает:
отсутствует контакт 1 - 2 пальцев КМ","Замыкание этих пальцев проверить нажатием на кнопку маневровой работы ""КМР"""
20,"Неисправности тепловоза в режиме ""Тяга/Тормоз""",На первой позиции КМ не нагружаются обе секции.,"Не включен тумблер УТ ""Управление тепловозом""","Включить тумблер УТ ""Управление тепловозом"""
20,"Неисправности тепловоза в режиме ""Тяга/Тормоз""",На первой позиции КМ не нагружаются обе секции.,"Не включен тумблер ТД ""Движение""","Включить тумблер ТД ""Движение"""
20,"Неисправности тепловоза в режиме ""Тяга/Тормоз""",На первой позиции КМ не нагружаются обе секции.,Не включен ЭПК,"Включить ЭПК
(Включение ЭПК, тумблеров УТ, ТД проверить переводом реверсора в положение ""Назад"")"
21,"Неисправности тепловоза в режиме ""Тяга/Тормоз""",На первой позиции контроллера машиниста не нагружается одна из секций.,Если РВ-3 не вкл. И Х.Х. не прерывается,"Осмотреть - АВУ, 1АТ, 2АТ, РУ2, РВД, контакты реверсора ""Вперёд"" - ""Назад""."
21,"Неисправности тепловоза в режиме ""Тяга/Тормоз""",На первой позиции контроллера машиниста не нагружается одна из секций.,Если РВ-3 вкл. И Х.Х. прерывается,"Осмотреть - з.к. РВ-3 в цепи П1 - П6, ОМ1 - ОМ6, з.к. П1 - П6 в цепи РУ5"
22,"Неисправности тепловоза в режиме ""Тяга/Тормоз""","При следовании тепловоза
снизилась мощность тягового генератора, перегрев сопротивления СГП",Не включен гл.к. КВ.,Проверить гл.к. КВ.
23,"Неисправности тепловоза в режиме ""Тяга/Тормоз""","При следовании тепловоза произошел сброс нагрузки, сработало реле заземления РЗ:
При наличии ВРЗ",В силовой цепи имеется пробой на корпус.,"Произвести осмотр силовой цепи для выявления неисправности, неисправный ТЭД отключить выключателем (ОМ-1... ОМ-6).
При невозможности устранить нарушение изоляции или отключить неисправный участок цепи и при отсутствии серьёзных повреждений - отключить ВРЗ и продолжить движение."
23,"Неисправности тепловоза в режиме ""Тяга/Тормоз""","При наличии ВРЗ1, ВРЗ2",В силовой цепи имеется пробой на корпус.,"После переключения А4 ""Управление возбуждением"", отключить ВРЗ2.
Если при наборе тяги РЗ не срабатывает, то пробой в минусовых цепях - произвести осмотр силовой цепи для выявления неисправности. При не выявлении неисправности - продолжить движение с выключенным ВРЗ2.
Если при наборе тяги РЗ срабатывает - при включенных ВРЗ1, ВРЗ2 определить неисправную цепь тяговых электродвигателей (отключением ОМ1-ОМ6) и асинхронных электродвигателей охлаждения (отключением соответствующих автоматов).
При невозможности устранить нарушение изоляции или отключить неисправный участок цепи и при отсутствии серьёзных повреждений - отключить ВРЗ1 и продолжить движение."
24,"Неисправности тепловоза в режиме ""Тяга/Тормоз""","При следовании тепловоза произошел сброс нагрузки, загорается лампочка ""Сброс нагрузки"", подается сигнал зуммера боксования","Проворот малой шестерни на валу ТЭД, излом зубьев шестерен зубчатой передачи.",Отключить неисправный ТЭД выключателем (ОМ-1----ОМ-6)
25,"Неисправности тепловоза в режиме ""Тяга/Тормоз""","Произошёл ""Сброс нагрузки"" на одной из секций.
Если ХХ нет","Включилось РЗ, РОП, РМ2, открылись двери ВВК, ВУ. Сработал автомат А4 ""Управление возбуждением"", автомат А12 ""БУВ"", автомат А1 ""Возбудитель""","Включить автомат А4 ""Управление возбуждением"", автомат А1 ""Возбудитель"", автомат А12 ""БУВ"", проверить блокировки закрытия дверей ВВК, снять с защелки РЗ, РОП РМ2, (переключить автомат А4 ""Управление возбуждением"")."
25,"Неисправности тепловоза в режиме ""Тяга/Тормоз""",Если ХХ есть,"Сработали ТРМ, ТРВ, РДВ, автоматы АВУ, 1АТ, 2АТ","Включить автоматы АВУ, 1АТ, 2АТ, АВУ, контролировать температуру охлаждения дизеля. При повышении температуры воды, масла проверить работу вентиляторов охлаждения, перейти на низшие позиции КМ."
26,"Неисправности тепловоза в режиме ""Тяга/Тормоз""","При следовании тепловоза произошел сброс нагрузки, сработало реле максимального тока РМ2",Короткое замыкание в цепях тягового генератора или выпрямительной установки,"При не выявлении замыкания в тяговом генераторе или выпрямительной установке продолжить движение.
При повторном срабатывании РМ2 работа под нагрузкой запрещена."
27,"Неисправности тепловоза в режиме ""Тяга/Тормоз""","При следовании тепловоза произошел сброс нагрузки, сработало реле максимального тока РМ1",Превышение тока в цепях тягового генератора более допустимых,Перейти на низшие позиции.
28,"Неисправности тепловоза в режиме ""Тяга/Тормоз""","При следовании тепловоза произошел сброс нагрузки, сработало реле обрыва полюсов РОП",Обрыв или неисправность цепи возбуждения ТЭД,Отключить неисправный участок цепи возбуждения ТЭД выключателем (ОМ-1----ОМ-6)
29,"Неисправности тепловоза в режиме ""Тяга/Тормоз""","Х.Х. нет, КВ и ВВ не включены","Включилось РЗ, РОП, РМ2, открылись двери ВВК, ВУ. Сработал автомат А4 ""Управление возбуждением"", автомат А12 ""БУВ"".","Включить автомат А4 ""Управление возбуждением"", автомат А12 ""БУВ"", проверить блокировки закрытия дверей ВВК, снять с защелки РЗ, РОП РМ2, (переключить автомат А4 ""Управление возбуждением"")."
30,"Неисправности тепловоза в режиме ""Тяга/Тормоз""","Х.Х. нет, КВ и ВВ включены.
Если при этом нет возбуждения возбудителя (проверить по отсутствию дуги между гл.к. ВВ при их размыкании. Блокировки дверей ВВК при проверке
должны быть замкнуты).","Сработал автомат А1 Возбудитель""","Включить автомат А1 Возбудитель"""
30,"Неисправности тепловоза в режиме ""Тяга/Тормоз""","Х.Х. нет, КВ и ВВ включены.
Если при этом нет возбуждения возбудителя (проверить по отсутствию дуги между гл.к. ВВ при их размыкании. Блокировки дверей ВВК при проверке
должны быть замкнуты).","Не включен ПВА ""Аварийный переключатель""","Включить ПВА ""Аварийный переключатель"""
30,"Неисправности тепловоза в режиме ""Тяга/Тормоз""","Х.Х. нет, КВ и ВВ включены.
Если при этом нет возбуждения возбудителя (проверить по отсутствию дуги между гл.к. ВВ при их размыкании. Блокировки дверей ВВК при проверке
должны быть замкнуты).","Не включен гл.к. ВВ, нарушена цепь сопротивлений САВ, СВВ","Проверить гл.к. ВВ, цепь сопротивлений САВ, СВВ"
31,"Неисправности тепловоза в режиме ""Тяга/Тормоз""","Х.Х. нет, КВ и ВВ включены.
Если при этом нет возбуждения Г.Г. (проверяется по отсутствию дуги между гл.к. КВ при их размыкании. Блокировки дверей ВВК при проверке должны быть замкнуты).",Перегорел ПР1 (160А),Заменить предохранитель ПР1 (160А)
31,"Неисправности тепловоза в режиме ""Тяга/Тормоз""","Х.Х. нет, КВ и ВВ включены.
Если при этом нет возбуждения Г.Г. (проверяется по отсутствию дуги между гл.к. КВ при их размыкании. Блокировки дверей ВВК при проверке должны быть замкнуты).","Не включен ПВА ""Аварийный переключатель""","Включить ПВА ""Аварийный переключатель"""
31,"Неисправности тепловоза в режиме ""Тяга/Тормоз""","Х.Х. нет, КВ и ВВ включены.
Если при этом нет возбуждения Г.Г. (проверяется по отсутствию дуги между гл.к. КВ при их размыкании. Блокировки дверей ВВК при проверке должны быть замкнуты).",Неисправность в цепи БУВ,"Переключить ПВА ""Аварийный переключатель"" на аварийное возбуждение."
31,"Неисправности тепловоза в режиме ""Тяга/Тормоз""","Х.Х. нет, КВ и ВВ включены.
Если при этом нет возбуждения Г.Г. (проверяется по отсутствию дуги между гл.к. КВ при их размыкании. Блокировки дверей ВВК при проверке должны быть замкнуты).",Неисправность возбудителя,Проверить контактные кольца возбудителя и щётки
