N,topic,malfunction,cause,elimination
16,"При пуске вал дизеля проворачивается, а запуск не производится","При установке контроллера машиниста в первое положение тепловоз не трогается с места, горит сигнализация ""Сброс нагрузки. Не включаются КП1-КП8, КВВ, КВГ.",Отключены выключатели моторов Тб11-Тб18,Включить выключатели.
16,"При пуске вал дизеля проворачивается, а запуск не производится","При установке контроллера машиниста в первое положение тепловоз не трогается с места, горит сигнализация ""Сброс нагрузки. Не включаются КП1-КП8, КВВ, КВГ.","Нет разрешения на тягу от КЛУБ-У или включено экстренное торможение от КЛУБ-У, КПД-3ПВ.","Включить ключ ЭПК, восстановить работу КЛУБ-У, КПД-3ПВ."
16,"При пуске вал дизеля проворачивается, а запуск не производится","При установке контроллера машиниста в первое положение тепловоз не трогается с места, горит сигнализация ""Сброс нагрузки. Не включаются КП1-КП8, КВВ, КВГ.",Отсутствует контакт в блокировках поездных контакторов КП1-КП8.,Проверить состояние блокировок поездных контакторов КП1-КП8.
17,"При пуске вал дизеля проворачивается, а запуск не производится","Включаются все аппараты: КВВ, КВГ, РВ4, КП1-КП8, но тепловоз с места не трогается (""Сброс нагрузки"" не горит)",Сгорел предохранитель ПРВГ в цепи возбудителя.,Заменить предохранитель ПРВГ.
17,"При пуске вал дизеля проворачивается, а запуск не производится","Включаются все аппараты: КВВ, КВГ, РВ4, КП1-КП8, но тепловоз с места не трогается (""Сброс нагрузки"" не горит)",Нет контакта в силовых контактах КВГ или КВВ.,Восстановить контакт.
18,"При пуске вал дизеля проворачивается, а запуск не производится","Дизель перегружается, наблюдается ""просадка"" оборотов",Исчезновение питания датчиков тока Iм1-Iм8 и датчика напряжения Ur.,Проверить напряжение на датчиках.
18,"При пуске вал дизеля проворачивается, а запуск не производится","Дизель перегружается, наблюдается ""просадка"" оборотов","Обрыв цепей датчиков тока и напряжения Iм1-Iм8, Ur или нарушена их целостность.",Проверить их показания на стойке управления и целостность их цепей.
19,"При пуске вал дизеля проворачивается, а запуск не производится","Дизель ""сбрасывает"" нагрузку при переводе контроллера с пятой на шестую позицию","Неисправность датчика давления масла ДДМ2, его регулировки или его цепей.","При отсутствии напряжения проверить цепи, проверить датчик."
20,"При пуске вал дизеля проворачивается, а запуск не производится",При переводе контроллера обороты дизеля не изменяются или резко изменяются,Обрыв катушки одного из электромагнитов регулятора оборотов или нарушен контакт в клеммной коробке дизеля.,Произвести визуальный осмотр регулятора на предмет целостности подводящих разъёмов и механической части.
21,"При пуске вал дизеля проворачивается, а запуск не производится","Наблюдается ""просадка"" оборотов дизеля, особенно на высших позициях",Подсос воздуха в топливную систему.,Отвернуть пробку на фильтре тонкой очистки и выпустить воздух.
22,При следовании тепловоза произошел сброс нагрузки,Сработало реле заземления Р3,"В силовой цепи имеется пробой на корпус или частичное разрушение изоляции.
Замыкание в силовой цепи.","Произвести осмотр всей силовой цепи для выявления неисправности. При обнаружении неисправности восстановить изоляцию или устранить касание токоведущих частей корпуса тепловоза. Если повреждение не обнаружено, восстановить контакт реле от руки в нормальное положение и попытаться продолжать движение. Если реле срабатывает и после повторного тщательного осмотра место повреждения все же не обнаружено, вновь восстановить реле в нормальное положение
рубильником реле заземления и продолжать движение до основного или оборотного депо. При обнаружении неисправного тягового электродвигателя отключить его выключателем и следовать до основного депо."
23,При следовании тепловоза произошел сброс нагрузки,Произошел перегрев воды или масла дизеля,Неисправность автоматики.,При неисправности автоматики охлаждения дизеля перейти на ручное управление.
24,При следовании тепловоза произошел сброс нагрузки,Не происходит включение контакторов шунтировки поля тяговых электродвигателей,Не включен тумблер ТОП или нарушен его контакт.,Включить тумблер ТОП или восстановить его контакт.
24,При следовании тепловоза произошел сброс нагрузки,Не происходит включение контакторов шунтировки поля тяговых электродвигателей,"Нарушены замыкающие контакты реле РОП1, РОП2.",Восстановить контакт.
25,При следовании тепловоза произошел сброс нагрузки,"Недостаточное количество воды (результат контроля по водомерному стеклу, не сработал датчик реле уровня воды)",Утечка воды из системы.,Немедленно снять нагрузку и остановить дизель.
26,При следовании тепловоза произошел сброс нагрузки,Дизель работает с дымным выхлопом - темный цвет отработанных газов,"Плохой распыл топлива форсункой, негерметичность нагнетательных клапанов топливных насосов высокого давления или неправильная регулировка фаз газораспределения.",Отключить ТНВД неисправной форсунки.
27,При следовании тепловоза произошел сброс нагрузки,"Дизель работает неустойчиво, резкое колебание оборотов (определяется по тахометру)",Попадание воздуха в топливную систему.,"Выпустить воздух из топливной системы, устранить подсос воздуха"
27,При следовании тепловоза произошел сброс нагрузки,"Дизель работает неустойчиво, резкое колебание оборотов (определяется по тахометру)",Тугой ход или заклинивание реек топливных насосов и привода управления.,Отключить поводок рейки топливного насоса.
28,При следовании тепловоза произошел сброс нагрузки,"Течь топлива по соединению с форсункой дизеля, течь по трубе высокого давления топлива",Трещина топливной трубки высокого давления.,"Снять трубку и установить заглушку, отключить ТНВД."
29,При следовании тепловоза произошел сброс нагрузки,Повышенная течь топлива на сливной трубке форсунки дизеля,Выход форсунки из строя.,Выключить соответствующий топливный насос.
30,При следовании тепловоза произошел сброс нагрузки,"Мощность дизеля недостаточна. Шток сервомотора объединенного регулятора перемещается нормально, а рейки топливных насосов не перемещаются на увеличение подачи топлива","Задир плунжерной пары одного или нескольких топливных насосов, или общей тяги подачи топлива.","Отключить поводок рейки насосов или ""расходить"" рейку топливного насоса. Отключить вышедший из строя насос."
31,При повышении температуры воды и масла дизеля,Привод жалюзи холодильной камеры не включается,Отключены термодатчики воды или масла (закрыты краны).,Открыть краны.
31,При повышении температуры воды и масла дизеля,Привод жалюзи холодильной камеры не включается,Перекрыт воздушный трубопровод привода жалюзи.,Открыть вентиль.
31,При повышении температуры воды и масла дизеля,Привод жалюзи холодильной камеры не включается,Неисправен переключатель ПЖ (привода жалюзи).,Открыть жалюзи в ручную.
32,При повышении температуры воды и масла дизеля,Не включается привод вентилятора холодильника,Неисправен терморегулятор.,Перейти на ручное управление тумблером ТВО1 (ТВО2).
