N,topic,malfunction,cause,elimination
12,По дизелю и системам,Топливоподкачивающий насос не создает нормального давления,"Загрязнение фильтров ""заедание"" перепускного или предохранительного клапанов",Очистить фильтры. Проверить клапаны
13,По дизелю и системам,"При установке контроллера машиниста в первое положение тепловоз не трогается с места, горит сигнализация ""Сброс нагрузки"". Не включаются 35КП1-35КП8, 35КВГ1 (35КВГ2)",Отключены выключатели моторов 41Тб1-41Тб8,Включить выключатели
13,По дизелю и системам,"При установке контроллера машиниста в первое положение тепловоз не трогается с места, горит сигнализация ""Сброс нагрузки"". Не включаются 35КП1-35КП8, 35КВГ1 (35КВГ2)",Срабатывает сигнализация обрыва тормозной магистрали,"Переключить тумблер ""сигнализации обрыва тормозной магистрали"" на вспомогательном пульте"
13,По дизелю и системам,"При установке контроллера машиниста в первое положение тепловоз не трогается с места, горит сигнализация ""Сброс нагрузки"". Не включаются 35КП1-35КП8, 35КВГ1 (35КВГ2)",Нет разрешения на тягу от АЛСН или включено экстренное торможение от АЛСН,"Включить ключ ЭПК, восстановить работу АЛСН"
14,По дизелю и системам,"Включаются все аппараты: 35КВГ, 35КП1-35КП8, но тепловоз с места не трогается (""Сброс нагрузки"" не горит)",Сгорел предохранитель 21ПРВГ1 (21ПРВГ2) в цепи возбуждения генератора,Заменить предохранитель
14,По дизелю и системам,"Включаются все аппараты: 35КВГ, 35КП1-35КП8, но тепловоз с места не трогается (""Сброс нагрузки"" не горит)",Нет контакта в силовых контактах 35КВГ1 (35КВГ2),Проверить контакт в силовых контактах 35КВГ1 (35КВГ2)
15,По дизелю и системам,"Дизель не увеличивает обороты по команде контроллера машиниста при работе регулятора с бортовой микропроцессорной системой управления тепловозом. Частота вращения дизеля 8,7 с -1 (520 об/мин)",Пропала связь с бортовой микропроцессорной системой управления тепловозом - нарушен контакт в разъемах кабеля связи бортовой микропроцессорной системой управления тепловозом с блоком управления регулятора или обрыв в кабеле Малая мощность на выходе выпрямительной установки на восьмой позиции контроллера,Проверить надежность соединения разъемов кабеля связи. При необходимости разъемы подтянуть и надежно закрепить.
16,По дизелю и системам,"Дизель перегружается, наблюдается ""просадка"" оборотов","Обрыв цепей датчиков тока и напряжения 24Iм1-24Iм8, 22Uву1 (22Uву2), или нарушена их целостность",Проверить их показания на стойке управления и целостность их цепей. Неисправность устранить
17,По дизелю и системам,"Дизель ""сбрасывает"" нагрузку при переводе контроллера с пятой на шестую позицию",Низкое давление масла в системе дизеля.,Проверить уровень масла
18,По дизелю и системам,При переводе контроллера обороты дизеля не изменяются или резко изменяются,Неисправен электронный регулятор числа оборотов,Проверить уровень масла регулятора числа оборотов
19,По дизелю и системам,"Мощность дизеля не достаточна (наблюдается просадка оборотов, особенно на высших позициях)",Подсос воздуха в топливную систему,Осмотреть топливную систему на наличие течи топлива
20,По дизелю и системам,Недостаточное количество охлаждающей жидкости (результат контроля по водомерному стеклу),"Не сработал датчик реле уровня воды, утечка охлаждающей жидкости из системы","Снять нагрузку и остановить дизель, найти место утечки и устранить течь. Устранить причины несрабатывания 32ДУВ1 (32ДУВ2), дальнейшая эксплуатация допустима только после заправки системы охлаждающей жидкостью до необходимого уровня"
21,По дизелю и системам,При следовании тепловоза произошел сброс нагрузки,"Сработало реле заземления 44Р3ЕМ1 (44РЗЕМ2), в силовой цепи имеется пробой на корпус или частичное разрушение изоляции","Произвести осмотр всей силовой цепи для выявления неисправности. При обнаружении неисправности восстановить изоляцию или устранить касание токоведущих частей корпуса тепловоза. Если повреждение не обнаружено, восстановить контакт реле от руки в нормальное положение и попытаться продолжать движение. Если реле срабатывает и после повторного тщательного осмотра место повреждения все же не обнаружено, вновь восстановить реле в нормальное положение рубильником реле заземления и продолжать движение до основного или оборотного депо. При обнаружении неисправного тягового электродвигателя отключить его выключателем и следовать до основного депо"
22,По дизелю и системам,Произошел перегрев охлаждающей жидкости или масла дизеля,Не включаются вентиляторы и не открываются жалюзи,Перейти на ручной режим управления охлаждением. Проверить включение вентиляторов и открытие жалюзей.
23,По дизелю и системам,Не происходит включение контакторов шунтировки поля тяговых электродвигателей,Не включен тумблер 35ТОП или вышел из строя,Проверить включение тумблера 35ТОП
23,По дизелю и системам,Не происходит включение контакторов шунтировки поля тяговых электродвигателей,"Нарушены замыкающие контакты контакторов 41КШ1, 41КШ2","Проверить контакты контакторов 41КШ1, 41КШ2"
24,По дизелю и системам,Недостаточное количество масла (по маслоизмерительному щупу),Утечка масла из системы,Осмотреть масляную систему. При возможности устранить утечку масла.
25,По дизелю и системам,Низкое давление масла в магистрали,Пониженная вязкость масла вследствие его перегрева в или попадания топлива,Снизить температуру масла.
25,По дизелю и системам,Низкое давление масла в магистрали,Недостаточное количество масла в картере дизеля,Проверить уровень масла по маслоуказателю.
25,По дизелю и системам,Низкое давление масла в магистрали,Неисправен масляный насос,Осмотреть насос.
26,Аккумуляторная батарея,Слишком высокий ток при зарядке и низкий при разрядке,"Плохие контакты, плохо привернуты гайки",Проверить контакты и подтянуть гайки
27,Аккумуляторная батарея,Сильный нагрев аккумуляторов и зажимов,Плохие контакты,Подтянуть гайки
28,Охлаждающее устройство,Температура охлаждающей жидкости и масла дизеля поддерживается на предельно допустимом уровне при температуре наружного воздуха от 20 до 30°С,Не открылись или открылись не полностью жалюзи,Проверить жалюзи на полное их открытие
28,Охлаждающее устройство,Температура охлаждающей жидкости и масла дизеля поддерживается на предельно допустимом уровне при температуре наружного воздуха от 20 до 30°С,Заедание жалюзи,Отсоединить привод жалюзи от цилиндра привода и несколько раз открыть и закрыть жалюзи вручную
28,Охлаждающее устройство,Температура охлаждающей жидкости и масла дизеля поддерживается на предельно допустимом уровне при температуре наружного воздуха от 20 до 30°С,Не открываются верхние жалюзи при открытых боковых жалюзи - заклинило переключатель,Отсоединить от переключателя воздушные трубки осмотреть детали переключателя
29,Автоматика холодильной камеры,Повышение температуры охлаждающей жидкости и масла дизеля,Неисправны датчики температуры,Перейти на ручное управление тумблером ТВО1 (ТВО2)
29,Автоматика холодильной камеры,Не включается вентилятор холодильника,Неисправен датчик температуры,Перейти на ручное управление тумблером ТВО1 (ТВО2)
