N,topic,malfunction,cause,elimination
31,Главный выключатель,ГВ выключен - авария Uкс,"Сигнал ""Авария Uks"" устанавливается, если Uks > 29200 В в течение более 600 секунд.","Сигнал ""Авария Uks"" снимается, если Uks < 29000В в течение более 120 секунд. По истечении 120 секунд включить ГВ.
После 3-го появления сигнала ""Авария Uks"" за 60 минут сигнал снимается, если Uks < 29000В в течение более 30 минут"
32,Главный выключатель,Не включается ГВ - не выключены вспом. машины,Получен сигнал о замкнутом состоянии контактора вспомогательных машин (К1...К16) при отсутствии команды на его включение,"Выключить контактора вспом. машины, включить ГВ.
При невозможности выключить контактора, отключить неисправную секцию."
33,Главный выключатель,Блокировка ГВ ложно разомкнута,"В течение 5 секунд выполняются все условия:
- есть команда на включение ГВ;
- есть готовность БПСН;
- есть сигнал на БВС по цепи 362;
- нет цепи по аппаратной блокировке ГВ (341)","Продолжать движение, следовать до ПТО"
34,Главный выключатель,"ГВ выключен, нет контроля ТП1, ТТ1 (или ТП2, ТТ2)","Выполняются все условия:
- Напряжение контактной сети больше 17000 В;
- есть команда на включение ГВ;
- ГВ выключен;
- нет сигнала на БВС по цепи 365 для ТП1 или 362 для ТТ2","Проверить включение КМ19, включить ГВ, следовать до ПТО на запустившемся ТП."
35,Главный выключатель,Блокировка ГВ ложно замкнута,"Если выполняются все условия:
- нет команды на включение ГВ;
- на БВС поступает сигнал о включении ГВ.","Запустить электровоз, следовать до ПТО"
36,Главный выключатель,"ГВ не включен, положение QS3 (или QS4) не соответствует заданному","1. На БВС поступает сигнал от QS3 (или QS4) по цепям 360 и 389 (для QS4 по цепям 361 и 399).
2. На БВС не поступает сигнал от QS3 (или QS4) по цепям 360 и 389 (для QS4 по цепям 361 и 399).",Проверить положение QS3 (или QS4) в соответствии с выданной командой.
37,Главный выключатель,"ГВ не включен, положение QS3 и QS4 не соответствует заданному",На БВС поступает сигнал о несоответствии положения обоих разъединителей выданной команде.,"Проверить положение QS3, QS4 в соответствии с выданной командой."
38,Главный выключатель,Положение QS1 не соответствует заданному,На БВС поступает сигнал о несоответствии положения QS1 выданной команде.,Проверить положение QS1 в соответствии с выданной командой.
39,Главный выключатель,Положение QS2 не соответствует заданному,На БВС поступает сигнал о несоответствии положения QS2 выданной команде.,Проверить положение QS2 в соответствии с выданной командой.
40,Главный выключатель,"ГВ не включен, от БУЭ получен сигнал ""обрыв нагрузки""","После получения команды на включение ГВ возможные причины:
1. Отсутствует питание цепи 398-381;
2. Отсутствует питание цепи 362-397;
3. Неисправность БУЭ.",Повторно включить ГВ. Если не включается следовать на исправных секциях.
41,Главный выключатель,"ГВ не включен, от БУЭ получен сигнал ""короткое замыкание""","После получения команды на включение ГВ возможные причины:
1. Короткое замыкание в цепи 398-381;
2. Короткое замыкание в цепи 362-397;
3. Неисправность БУЭ.",Повторно включить ГВ. Если не включается следовать на исправных секциях.
42,Главный выключатель,Предупреждение ТТ1 (или ТТ2),"При включенном ВЦУ, напряжении контактной сети в рабочем диапазоне, включенных разъединителях QS3 и QS4 сработало реле Бухгольца (предупреждение) соответствующего тягового трансформатора.","Продолжить движение, контролировать уровень масла в тяговом трансформаторе, на котором сработало реле."
43,Управление тяговыми преобразователями,ТП-1(или ТП-2) отключен - авария ХХ ТТ1(или ТТ-2),Установлен запрет включения ТП-1 (или ТП-2) из-за недопустимой величины тока потребляемого тяговым преобразователем от контактной сети после включения ГВ,"Выключить тумблер ГВ. Выдержать паузу в течение 1 минуты, включить ГВ. При повторном появлении сигнала устанавливается блокировка включения соответствующего ТП. Следовать до основного депо на исправных тяговых преобразователях."
44,Управление тяговыми преобразователями,ТП-1(или ТП-2) отключен - нет связи,Установлен запрет включения ТП-1 (или ТП-2) из-за нарушения связи с тяговым преобразователем,Включить ГВ. Следовать до ПТО на исправных тяговых преобразователях.
45,Управление тяговыми преобразователями,ТП-1(или ТП-2) отключен - нет контроля питания,Установлен запрет включения ТП-1 (или ТП-2) из-за отсутствия контроля питания.,Включить ГВ. Следовать на исправных тяговых преобразователях.
46,Управление тяговыми преобразователями,ТП-1(или ТП-2) зарезервирован - по запросу ТП-1 (или ТП-2),Требование от блока управления тяговым преобразователем на отключение,Включить ГВ. Следовать до основного депо на исправных тяговых преобразователях.
47,Управление тяговыми преобразователями,ТП-1 (или ТП-2) зарезервирован - нет готовности БПСН 5 сек,При выданной команде на включение нет сигнала о работе БПСН1 (или БПСН2),Следовать до основного депо на исправных тяговых преобразователях.
48,Управление тяговыми преобразователями,ТП-1 (или ТП-2) отключен - авария ТТ-1 (или ТТ-2),"При включенном ВЦУ, напряжении контактной сети в рабочем диапазоне, включенных разъединителях QS3 и QS4 сработало реле Бухгольца (авария) соответствующего тягового трансформатора.",Включить ГВ. Следовать до основного депо на исправных тяговых преобразователях.
49,Управление тяговыми преобразователями,ТП-1 требование БПСН выкл. ВМ,"Поступает сигнал ""Требование отключения потребителей БПСН1""","При требовании разгруппировать ТП1, работа вспомогательных машин от ТП-2. Следовать на исправных тяговых преобразователях."
50,Управление тяговыми преобразователями,ТП-2 требование БПСН выкл. ВМ,"Поступает сигнал ""Требование отключения потребителей БПСН2""","При требовании разгруппировать ТП2, работа вспомогательных машин от ТП-1. Следовать на исправных тяговых преобразователях."
51,Управление тяговыми преобразователями,"ТП-1 нет сигнала ""Один БПСН""","При наличии команды разгруппировать ТП2 нет сигнала ""БПСН1 в режиме двойного резервирования"".","Не включатся потребители группы 2
Следовать до ПТО на исправных секциях."
52,Управление тяговыми преобразователями,"ТП-2 нет сигнала ""Один БПСН""","При наличии команды разгруппировать ТП1 нет сигнала ""БПСН2 в режиме двойного резервирования"".","Не включатся потребители группы 1
Следовать до ПТО на исправных секциях."
53,Управление тяговыми преобразователями,ТП-1 (или ТП-2) зарезервирован - низкий уровень ОЖ,Уровень охлаждающей жидкости в расширительном бачке установки охлаждения ниже минимальной отметки,Включить ГВ. Следовать до основного депо на исправных тяговых преобразователях.
54,Управление тяговыми преобразователями,ТП-1 (или ТП-2) зарезервирован - не включился насос ТП-1(или ТП-2),Не включился контактор К10 для ТП-1 или контактор К11 для ТП-2,Включить ГВ. Следовать до основного депо на исправных тяговых преобразователях.
55,Управление тяговыми преобразователями,ТП-1 (или ТП-2) зарезервирован - не включился ВО ТП-1 (или ТП-2),Не включился контактор К8 для ТП-1 или контактор К9 для ТП-2,Включить ГВ. Следовать до основного депо на исправных тяговых преобразователях
56,Управление тяговыми преобразователями,ТП-1 (или ТП-2) зарезервирован - не открылись жалюзи ТП-1 (или ТП-2),Нет контроля открытия жалюзи установки охлаждения ТП-1 (или ТП-2),"Открыть жалюзи установки охлаждения принудительно, запустить электровоз.
Если контроль жалюзи не восстановился следовать до основного депо на исправных тяговых преобразователях"
57,Управление тяговыми преобразователями,ТП-1 (или ТП-2) зарезервирован - не включился В-УО1,Не включился контактор К4 вентилятора установки охлаждения ТП-1 или контактор К5 вентилятора установки охлаждения ТП-2,Включить ГВ. Следовать до основного депо на исправных тяговых преобразователях
58,Управление тяговыми преобразователями,ТП-1 (или ТП-2) отключен по требованию ТП без разрядки промежуточных контуров,Требование на отключение от ТП-1 (или ТП-2),Выключить тумблер ГВ. Включить ГВ после снятия требования на отключение. Следовать до ПТО для выяснения причин отключения.
59,Управление тяговыми преобразователями,ТТ-1 (или ТТ-2) отключен - авария ДТ ТТ-1 (или ДТ ТТ-2),"Сигналы ""Авария ДТ ТТ1"" и ""Авария ДТ ТТ2"" устанавливаются, если:
- ток секции больше суммарного тока потребления преобразователей на 50А;
- отключение ТП-1, ели ток потребления ТП-1 меньше или равен току потребления ТП-2;
- отключение ТП-2, если ток потребления ТП-2 меньше тока потребления ТП-1.",Включить ГВ. Следовать до основного депо на исправных тяговых преобразователях
60,Тяговые преобразователи,ТП-1 (или ТП-2) ошибка программного обеспечения,ПО БУП тяговых преобразователей одной секции отличаются между собой или загружена неверная версия ПО БУП или неверная версия ПО KLIP-станции в БВТ. Сообщение выводится при наличии признака стоянка (скорость движения менее 3 км/ч).,На соответствующей секции в ШНА выключить тумблер ГВ (SA37). Следовать до основного депо на оставшихся секциях.
61,Тяговые преобразователи,ТП-1 (или ТП-2) ошибка параметров,"ПО БУП выявило недопустимые параметры.
Сообщение выводится при наличии признака стоянка",Отключить соответствующий тяговый преобразователь. Следовать до основного депо на исправных тяговых преобразователях
62,Тяговые преобразователи,ТП-1 (или ТП-2) неисправность при выключении тягового преобразователя,БУП не в состоянии разрядить промежуточный контур тягового преобразователя,Отключить соответствующий тяговый преобразователь. Следовать до основного депо на исправных тяговых преобразователях
63,Тяговые преобразователи,ТП-1 (или ТП-2) аппаратура БУП повреждена,Сбой модуля БУП,Отключить соответствующий тяговый преобразователь. Следовать до основного депо на исправных тяговых преобразователях
64,Тяговые преобразователи,ТП-1 (или ТП-2) оповещение от главного выключателя недостоверно,"Отсутствие сигнала ГВ ""выключен"" при отсутствии от БУП разрешения на включение ГВ","Выключить ГВ. Включить ГВ после появления сигнала разрешения на включение.
При отсутствии разрешения на включение отключить соответствующий тяговый преобразователь. Следовать до ПТО на исправных тяговых преобразователях"
65,Тяговые преобразователи,ТП-1 (или ТП-2) оповещение от сетевого разъединителя недостоверно.,После включения ГВ пропадает сигнал от разъединителя QS3 для ТП-1 или QS4 для ТП-2.,"Выключить ГВ. Включить ГВ после появления сигнала от QS3 и QS4 о соединении.
Если сигнала нет отключить соответствующий тяговый преобразователь. Если после отключения преобразователя работоспособность секции не восстанавливается, в ШНА выключить тумблер ГВ (SA37). Следовать до ПТО на оставшихся секциях."
66,Тяговые преобразователи,ТП-1 (или ТП-2) неисправность конденсатора БВТ.,Процессор преобразователя собственных нужд соответствующего тягового преобразователя выявил сбой в работе БВТ.,Отключить соответствующий тяговый преобразователь. Следовать до ПТО на исправных тяговых преобразователях.
67,Тяговые преобразователи,ТП-1 (или ТП-2) разгруппирован.,Соответствующий тяговый преобразователь был выключен на основании сбоя или вручную.,Отключить соответствующий тяговый преобразователь. Следовать до основного депо на исправных тяговых преобразователях.
68,Тяговые преобразователи,ТП-1 (или ТП-2) сигнал контактора БВТ недостоверен.,Защита БВТ сообщает в БУП о продолжительном недостоверном обратном сигнале от контактора БВТ.,"Отключить соответствующий тяговый преобразователь. Следовать до ПТО на исправных тяговых преобразователях.
Если после отключения преобразователя работоспособность секции не восстанавливается, в ШНА выключить тумблер ГВ (SA37). Продолжить движение на оставшихся секциях."
69,Тяговые преобразователи,ТП-1 (или ТП-2) замыкание на землю.,"Короткое замыкание в тяговом преобразователе:
- цепь инверторов тяговых двигателей;
- цепь преобразователя собственных нужд.",Отключить соответствующий тяговый преобразователь. Следовать до ПТО на исправных тяговых преобразователях.
70,Тяговые преобразователи,ТП-1 (или ТП-2) сетевое напряжение за пределами рабочего диапазона.,"Сообщение выводится, если в течение
20 секунд:
- 19 кВ < Uкс < 29 кВ;
- нет тестирования ASG1 (или ASG 2);
- есть команда на включение ГВ.","Продолжить движение, контроль за работой соответствующего тягового преобразователя."
71,Тяговые преобразователи,ТП-1 (или ТП-2) сетевое напряжение недостоверно.,"Значение напряжения в контактной сети, получаемое БУП от МПСУиД, определяется МПСУиД как недостоверное.","ТП, получающие соответствующий сигнал, не могут быть запущены. Следовать до ПТО на исправных тяговых преобразователях."
72,Тяговые преобразователи,ТП-1 (или ТП-2) входной ток при ЭЛТ превышает допустимое значение.,Ток потребления тяговым преобразователем превысил максимально допустимое значение,"Перед включением ГВ убедиться, что величина напряжения контактной сети находится в рабочем диапазоне. Следовать до ПТО для выяснения причин отказа и осмотра оборудования."
73,Тяговые преобразователи,ТП-1 (или ТП-2) ошибка предварительной зарядки для движения от стороннего питания.,"Сбой во время зарядки промежуточного контура при питании от сети депо.
Сообщение выводится при наличии признака стоянка.","Повторное включение возможно с выдержкой времени, не более четырёх раз или использовать двигатель, питающийся от другого тягового преобразователя."
74,Тяговые преобразователи,ТП-1 (или ТП-2) недостаточно напряжения для движения от стороннего питания.,"Напряжение звена постоянного тока тягового преобразователя при задании режима движения в депо ниже минимально допустимого уровня.
Сообщение выводится при наличии признака стоянка.",Повторно включить режим ввода в депо.
75,Тяговые преобразователи,ТП-1 (или ТП-2) сигнал контактора БВТ недостоверен.,Защита БВТ кратковременно передает недостоверный ответный сигнал в БУП.,"Действий не требуется, продолжать движение. Следовать до ПТО для выяснения причин отказа."
76,Тяговые преобразователи,ТП-1 (или ТП-2) неисправность KLIP,"Сообщение выводится, если в течение
20 секунд:
- 19 кВ < Uкс < 29 кВ;
- нет тестирования ASG1 (или ASG 2).
KLIP - станция для управления и контроля защиты БВТ сообщает БУП о сбое.",В ШНА выключить тумблер ГВ (SA37). Следовать до основного депо на оставшихся секциях.
77,Тяговые преобразователи,ТП-1 (или ТП-2) нет связи с обоими каналами МПСУиД.,БУП одного из тяговых преобразователей не принимает сигналы от обоих каналов МПСУиД.,Отключить соответствующий тяговый преобразователь. Следовать до основного депо на исправных тяговых преобразователях.
78,Тяговые преобразователи,ТП-1 (или ТП-2) нет связи с ASG или с KLIP.,"Сообщение выводится, если в течение
20 секунд:
- 19 кВ < Uкс < 29 кВ;
- нет тестирования ASG1 (или ASG 2);
- есть команда на включение ГВ.
Нарушение связи с инверторами ТЭД или с БВТ.",Отключить соответствующий тяговый преобразователь. Следовать до основного депо на исправных тяговых преобразователях.
79,Тяговые преобразователи,ТП-1 (или ТП-2) ошибка программного обеспечения.,Ошибка связи между двумя БУП одной секции.,"Включить ГВ. Если работа секции не восстановится, то отключить преобразователь, от которого пришло сообщение. Следовать до ПТО для выяснения причин отказа"
80,Тяговые преобразователи,ТП-1 (или ТП-2) превышение температуры ASG.,Температура модулей БУП слишком высокая,Отключить соответствующий тяговый преобразователь. Следовать до ПТО на исправных тяговых преобразователях. При понижении температуры БУП попытаться повторно включить тяговый преобразователь.
81,Тяговые преобразователи,ТП-1 (или ТП-2) превышение температуры ТП,Температура внутреннего пространства тягового преобразователя превзошла максимально допустимое предельное значение.,"В случае отключения тягового преобразователя по причине данного сообщения, следовать до ПТО с оставшимися в работе тяговыми преобразователями. При понижении температуры произвести попытку повторного включения."
82,Тяговые преобразователи,ТП-1 (или ТП-2) температура хладагента слишком высокая,Температура средства охлаждения тягового преобразователя превзошла максимально допустимое предельное значение.,"Следовать до ПТО, контролировать работу соответствующего тягового преобразователя. Происходит ограничение момента приводов."
83,Тяговые преобразователи,ТП-1 (или ТП-2) недопустимое давление хладагента,Давление охлаждающей жидкости тягового преобразователя вне допустимого диапазона.,Отключить соответствующий тяговый преобразователь. Следовать до основного депо на исправных тяговых преобразователях.
84,Тяговые преобразователи,ТП-1 (или ТП-2) постоянное блокирование БПСН.,Сигнальный процессор преобразователя сообщает о длительной блокировке преобразователя на основании опознанного сбоя.,Отключить соответствующий тяговый преобразователь. Следовать до основного депо на исправных тяговых преобразователях.
85,Тяговые преобразователи,ТП-1 (или ТП-2) неисправен датчик температуры БВТ,Температурный датчик трансформатора БВТ выдает в БУП тягового преобразователя недостоверные значения.,Следовать до ПТО. Возможно отключение соответствующего преобразователя.
86,Тяговые преобразователи,ТП-1 (или ТП-2) 2-я степень нагрева БВТ,Температура обмоток трансформатора в БВТ превысила допустимое предельное значение ступени 2.,"Отключить соответствующий тяговый преобразователь. Следовать до ПТО на оставшихся тяговых преобразователях.
При понижении температуры обмоток трансформатора допускается повторное включение соответствующего преобразователя."
87,Тяговые преобразователи,ТП-1 (или ТП-2) временное блокирование БПСН,Сигнальный процессор БПСН сообщает о блокировке на основании опознанного сбоя.,Следовать до ПТО. Возможно отключение соответствующего преобразователя.
88,Тяговые преобразователи,ТП-1 (или ТП-2) нет связи в ASG,Сигнальный процессор преобразователя сообщает о длительной блокировке на основании опознанного сбоя.,"Отключить соответствующий тяговый преобразователь. Следовать до основного депо на исправных тяговых преобразователях.
Возможно включение преобразователя с тестированием компонентов после выключения ВЦУ."
89,Тяговые преобразователи,ТП-1 (или ТП-2) превышение температуры ТП,Температура внутреннего пространства превысила допустимые значения.,Следовать до ПТО. В случае отключения ТП следовать на оставшихся в работе ТП. При понижении температуры допускается повторное включение ТП.
90,Тяговые преобразователи,ТП-1 (или ТП-2) температура хладагента превысила допустимые значения.,Температура средства охлаждения тягового преобразователя превысила максимально допустимое значение.,"Следовать до ПТО. Происходит ограничение момента приводов.
Контроль над состоянием хладагента, возможен выброс через редукционный клапан расширительного бачка."
91,Тяговые преобразователи,ТП-1 (или ТП-2) неисправен датчик температуры ТП.,Датчик температуры ТП выдает недостоверные значения.,Следовать до ПТО.
92,Тяговые преобразователи,ТП-1 (или ТП-2) замыкание на землю потребителей БПСН.,Система обнаружения короткого замыкания на землю в цепях БВТ сработала и не восстанавливалась продолжительный период времени.,Следовать до ПТО. Происходит ограничение момента приводов.
93,Тяговые преобразователи,ТП-1 (или ТП-2) неисправность блока управления ТП.,Блок вентиляторов БУП вышел из строя или батарея памяти БУП вырабатывает недостаточное напряжение.,Следовать до основного депо для проверки состояния БУП.
94,Тяговые преобразователи,ТП-1 (или ТП-2) нет связи с МПСУиД1.,БУП не получает данные от МПСУиД по 1линии связи.,Следовать до ПТО.
95,Тяговые преобразователи,ТП-1 (или ТП-2) нет связи с МПСУиД2.,БУП не получает данные от МПСУиД по 2линии связи.,Следовать до ПТО.
96,Тяговые преобразователи,ТП-1 (или ТП-2) замыкание на землю потребителей БПСН группы 1,Сработала защита от короткого замыкания на землю в цепи первого канала вспомогательных машин,Следовать до ПТО.
97,Тяговые преобразователи,ТП-1 (или ТП-2) замыкание на землю потребителей БПСН группы 2,Сработала защита от короткого замыкания на землю в цепи второго канала вспомогательных машин,Следовать до ПТО.
98,Тяговые преобразователи,"ТП-1 (или ТП-2)
1-я степень нагрева БВТ",Температура трансформатора тягового преобразователя в БВТ превысила допустимое предельное значение ступени 1,"Действий не требуется, продолжать движение"
99,Тяговые преобразователи,ТП-1 постоянное блокирование ТЭД-1 (или ТЭД-2),"Есть команда вперед или назад, и есть готовность ТП-1. Сигнальный процессор импульсного преобразователя привода A (или Б) определил сбой привода",Отключить двигатель 1 (привод А) или двигатель 2 (привод Б) Следовать до основного депо.
100,Тяговые преобразователи,ТП-1 превышение температуры ТЭД-1 (или ТЭД-2).,"Есть команда вперед или назад, и есть готовность ТП-1. Температура тягового двигателя привода A (или Б) превысила максимально допустимое значение ступени 2.",Происходит блокировка привода до достижения необходимой температуры. Следовать до ПТО.
101,Тяговые преобразователи,ТП-1 обороты ТЭД-1 (или ТЭД-2) недостоверны,"Есть команда вперед или назад, и есть готовность ТП-1. Сообщение выводится, если в течение
20 секунд:
- 19 кВ < Uкс < 29 кВ;
- нет тестирования ASG1",Следовать до ПТО.
102,Тяговые преобразователи,ТП-1 обороты ТЭД-1 (или ТЭД-2) превышают заданные.,"Есть команда вперед или назад, и есть готовность ТП-1. Превышение конструкционной скорости локомотива.",Обеспечить снижение скорости движения. Дальнейшее следование с уменьшенной скоростью.
103,Тяговые преобразователи,ТП-1 превышение температуры привода ТЭД-1 (или ТЭД-2).,"Есть команда вперед или назад, и есть готовность ТП-1. Температура тягового двигателя привода A (или Б) превысила максимально допустимое значение ступени 1.",Происходит ограничение момента привода до достижения необходимой температуры. Следовать до ПТО.
104,Тяговые преобразователи,ТП-1 превышение температуры инвертора ТЭД-1 (или ТЭД-2).,"Есть команда вперед или назад, и есть готовность ТП-1. Температура преобразователя привода A (или Б) превысила максимально допустимое значение",Происходит снижение момента привода. Следовать до ПТО.
105,Тяговые преобразователи,ТП-2 постоянное блокирование ТЭД-4 (или ТЭД-3),"Есть команда вперед или назад, и есть готовность ТП-2. Сигнальный процессор импульсного преобразователя привода A (или Б) определил сбой привода",Отключить двигатель 4 (привод А) или двигатель 3 (привод Б) Следовать до основного депо.
