N,topic,malfunction,cause,elimination
7,Пуск дизеля,Дизель не запускается при исправной работе электрической аппаратуры,Недостаточное количество топлива в топливном баке.,Проверить наличие топлива в баке.
7,Пуск дизеля,Дизель не запускается при исправной работе электрической аппаратуры,Недостаточное количество масла в ванне регулятора.,Недостаточное количество масла в ванне регулятора.
7,Пуск дизеля,Дизель не запускается при исправной работе электрической аппаратуры,Нет контакта у замыкающего контакта реле РВ3 с выдержкой времени 30секунд.,"Перед запуском дизеля произвести прокачку масляной системы дизеля включением тумблера В4, затем выключить его. Произвести запуск дизеля принудительным включением реле РУ5."
8,Пуск дизеля,"Дизель не идет на запуск, схема собирается, нет проворота коленчатого вала",Неисправность может быть в контакторах Д1 и Д2 из-за подгара контактов.,"Обратить внимание на стрелку амперметра аккумуляторной батареи, если она отклоняется влево, а лампы освещения гаснут, это говорит о слабой батарее или выходе из строя отдельной банки."
9,Пуск дизеля,Дизель останавливается при постановке реверсивной рукоятки в нулевое положение,"После запуска дизель останавливается при переводе реверсивной рукоятки в нулевое положение, по причине отсутствия контакта в блокировке РУ17 между проводами 855 и 857.",Дать постороннее питание на клемму 4/4 под пультом управления.
10,Зарядка аккумуляторной батареи,Отсутствует зарядка аккумуляторной батареи,Перегорел предохранитель на 80 А вспомогательного генератора или батареи.,Заменить предохранитель 80А в аппаратной камере.
10,Зарядка аккумуляторной батареи,Отсутствует зарядка аккумуляторной батареи,Проскальзывают ремни привода двухмашинного агрегата.,Натянуть ремни привода двухмашинного агрегата при остановленном дизеле.
10,Зарядка аккумуляторной батареи,Отсутствует зарядка аккумуляторной батареи,Не включилось РУ17.,Восстановить контакт между проводами 111-112 в блокировочном контакте Д2.
11,Трогание тепловоза с места,Тепловоз не трогается с места после установки штурвала контроллера машиниста в рабочее положение.,"Выключен тумблер ""Управление машинами""","Включить тумблер ""Управление машинами"""
11,Трогание тепловоза с места,Тепловоз не трогается с места после установки штурвала контроллера машиниста в рабочее положение.,Выключен отключатель моторов,Поставить отключатель моторов в положение I-II для езды на двух тележках
11,Трогание тепловоза с места,Тепловоз не трогается с места после установки штурвала контроллера машиниста в рабочее положение.,Не замкнулись контакты выключателя блокировки двери в аппаратной камере,Проверить закрытие двери аппаратной камеры
11,Трогание тепловоза с места,Тепловоз не трогается с места после установки штурвала контроллера машиниста в рабочее положение.,Выключен ЭПК,Включить ЭПК
11,Трогание тепловоза с места,Тепловоз не трогается с места после установки штурвала контроллера машиниста в рабочее положение.,Обрыв провода в цепи резисторов СВВ или сгорел один из резисторов.,"Найти неисправность и устранить, или запасным хомутом соединить концы оборванной проволоки резистора СВВ."
12,Трогание тепловоза с места,"Тепловоз не трогается с места, срабатывает реле боксования.",На валу одного из тяговых электродвигателей повернулись шестерни,"Выключить неисправную тележку, установить отключатель моторов в положение I или II."
12,Трогание тепловоза с места,"Тепловоз не трогается с места, срабатывает реле боксования.",Обрыв в цепи реле боксования.,Выключить тележку с неисправным реле боксования.
12,Трогание тепловоза с места,"Тепловоз не трогается с места, срабатывает реле боксования.",Остался включенным контактор Ш1 или Ш3.,Вручную разомкнуть контактор с соблюдением техники безопасности.
13,Трогание тепловоза с места,"Не включаются контакторы ВВ, П-1, П-2, КВ ,реле РВ-4, РВ-1","Не включен тумблер В-2 ""Управление машинами"".","Включить тумблер В-2 ""Управление машинами""."
13,Трогание тепловоза с места,"Не включаются контакторы ВВ, П-1, П-2, КВ ,реле РВ-4, РВ-1","Выключен автомат АВ-З ""Управление общее"".","Включить автомат АВ-3 ""Управление общее""."
14,Трогание тепловоза с места,"Не разворачивается вал реверсора в положение ""Вперед"" и ""Назад"".",Нет контакта у размыкающихся блок-контактов контакторов П1 и П2.,"Осмотреть, не остались ли во включенном положении контакторы П1 и П2. Привести их в выключенное положение. Если нет контакта у размыкающих блок-контактов, то восстановить."
14,Трогание тепловоза с места,"Не разворачивается вал реверсора в положение ""Вперед"" и ""Назад"".",Заедание привода реверсора.,Повернуть вал реверсора вручную в нужное положение.
14,Трогание тепловоза с места,"Не разворачивается вал реверсора в положение ""Вперед"" и ""Назад"".",Оборван минусовой провод 259.,Поставить перемычку от минусового ножа рубильника АБ на минусовые выводы катушек вентилей реверсора или на минус катушки контактора П2.
15,Следованием с поездом,Не происходит включения ослабленного возбуждения тяговых электродвигателей,"Не включен тумблер ""Управление переходами"".","Включить тумблер ""Управление переходами""."
15,Следованием с поездом,Не происходит включения ослабленного возбуждения тяговых электродвигателей,Неисправность реле РП1 и РП2.,"Осмотреть реле РП1 и РП2, если повреждение значительное, перейти на ручное управление контакторами шунтировки. Например: для включения контакторов шунтировки Ш1 и Ш3 поставить перемычку от клеммы 1/8 на клемму 3/1, а для включения контакторов Ш2 и Ш4 поставить перемычку от клеммы 3/6 на клемму 3/2. Тумблер В3 ""Управление переходами"" выключить. Включение и выключение контакторов шунтировки регулируют за счет включения тумблеров В15 ""Подрамное освещение"" и В22 ""Освещение аккумуляторной батареи""."
16,Следованием с поездом,Неисправность тягового электродвигателя,"Междувитковое замыкание, пробой изоляции якоря или катушек и др.",Дальнейшее следование может быть допущено с отключением тележки с неисправным электродвигателем. Движение на одной тележке осуществлять при токе ГГ до 605 А.
17,Следованием с поездом,Стрелка электроизмерительного прибора стоит в начале шкалы,"Выключен автомат ""Сигнально - контрольные при боры""","Включить автомат ""Сигнально - контрольные приборы""."
17,Следованием с поездом,Стрелка электроизмерительного прибора стоит в начале шкалы,"Тумблер ""Питание приборов"" не включен.","Включить тумблер ""Питание приборов""."
18,Следованием с поездом,Дизель не развивает полной мощности,Обрыв нагнетательной трубки форсунки. Резкое нарушение ритма работы дизеля. Произошло заедание плунжера секции топливного насоса или иглы распылителя форсунки одного из цилиндров дизеля.,Выключить секцию насоса и следовать на пяти цилиндрах.
18,Следованием с поездом,Дизель не развивает полной мощности,Не работает один или несколько цилиндров.,Выключить секцию топливного насоса неисправного цилиндра и следовать на пяти цилиндрах.
19,Следованием с поездом,"Дизель не развивает полной мощности, наблюдается большая дымность",Отсоединилась рейка одной из секций топливного насоса от вала наполнения (появление резких стуков в цилиндре и дымного выпуска).,Выключить секцию топливного насоса и рейку соединить с валом наполнения.
19,Следованием с поездом,"Дизель не развивает полной мощности, наблюдается большая дымность",Неисправна одна или несколько форсунок,"Поочередным выключением секций топливного насоса определить цилиндр, в котором неисправна форсунка. Выключить секцию топливного насоса неисправного цилиндра и следовать на пяти цилиндрах."
20,Следованием с поездом,Дизель работает с дымным выпуском,Дизель перегружен или нагружен сразу же после пуска без предварительного прогрева.,Уменьшите нагрузку или прогрейте дизель после пуска.
20,Следованием с поездом,Дизель работает с дымным выпуском,Зависает игла или засорены отверстия распылителя форсунки.,"Поочередным выключением секций топливного насоса определите цилиндр, в котором неисправна форсунка. Выключить секцию топливного насоса неисправного цилиндра и следовать на пяти цилиндрах."
20,Следованием с поездом,Дизель работает с дымным выпуском,"Недостаточная компрессия в цилиндрах дизеля вследствие износа или пригорания поршневых колец, негерметичности или поломки пружин клапанов цилиндровых крышек.",Поочередным выключением секций топливного насоса определить неисправный цилиндр. Выключить секцию топливного насоса неисправного цилиндра.
21,Следованием с поездом,Дизель стучит,"Зависание иглы, недостаточная затяжка пружины у форсунки, заклинивание плунжерной пары топливного насоса.",Поочередным выключением секций топливного насоса определить неисправный цилиндр. Выключить секцию топливного насоса неисправного цилиндра и следовать на пяти цилиндрах.
22,Следованием с поездом,Дизель работает неустойчиво,Воздух в топливной системе.,Удалить воздух.
22,Следованием с поездом,Дизель работает неустойчиво,Наличие воздуха в масляной ванне регулятора после замены масла.,"При прогретом масле в регуляторе отвернуть регулировочную иглу на два-три оборота и дать двигателю проработать неустойчиво 5-8 мин при минимальной частоте холостого хода, затем постепенно завернуть иглу, после этого дизель начнет работать устойчиво. Регулирование открытия иглы производите при хорошо прогретом дизеле."
22,Следованием с поездом,Дизель работает неустойчиво,Недостаточный или слишком большой уровень масла в масляной ванне РЧО.,Установить установленный по масломерному стеклу уровень масла.
23,Следованием с поездом,На третьей позиции штурвала нет увеличения оборотов коленчатого вала,На третьей позиции штурвала контроллера не происходит увеличения числа оборотов коленчатого вала дизеля из-за не включения ВТ-1 пневмопривода РЧО.,"Осмотреть ВТ-1, пневмопривод РЧО, проверить наличие напряжения на подводящих к нему проводах в противном случае включить принудительно."
