N,topic,malfunction,cause,elimination
7,Отсутствие в УОИ сигнала о включенном ЭПК,"Запрет сбора/разбор тяги
(Будьте внимательны! Вас ждут дома)",Нет +110В или обрыв провода от ЭПК к УОИ,Проверить состояние ЭПК.
7,Отсутствие в УОИ сигнала о включенном ЭПК,"Запрет сбора/разбор тяги
(Будьте внимательны! Вас ждут дома)",Неисправность платы БОДД (ПВДД) УОИ,Проверить состояние ЭПК.
8,В преобразователе сигнал о не включении (не отключении) разъединителя после подачи сигнала на включение (отключение),"Снятие/запрет схемы тяги
(В ТП1 не включился/ не отключился размыкатель)",Разъединитель не включился (не отключился),"По кадру 3 контролировать состояние разъединителя. Если разъединитель не включается, то выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3).
Если размыкатель не отключился - перевести секцию в Холостой ход."
8,В преобразователе сигнал о не включении (не отключении) разъединителя после подачи сигнала на включение (отключение),"Снятие/запрет схемы тяги
(В ТП1 не включился/ не отключился размыкатель)",Неисправны блокировки,"По кадру 3 контролировать состояние разъединителя. Если разъединитель не включается, то выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3).
Если размыкатель не отключился - перевести секцию в Холостой ход."
8,В преобразователе сигнал о не включении (не отключении) разъединителя после подачи сигнала на включение (отключение),"Снятие/запрет схемы тяги
(В ТП1 не включился/ не отключился размыкатель)",Неисправна внутренняя проводка или плата ПДВВ САУ ТП,"По кадру 3 контролировать состояние разъединителя. Если разъединитель не включается, то выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3).
Если размыкатель не отключился - перевести секцию в Холостой ход."
9,"В преобразователе сигнал об отсутствии 110 В от автомата ""Управление общее""","Снятие/запрет схемы тяги
(В ТП1(ТП2) нет U от ав. ""Управление общее"")",Отключен автомат,"Проверить автомат Управление общее, разъемы на ТП. Если не помогает выключить все три ОМ данной тележки. Проверить по ДМ отключение размыкателя.
Если размыкатель не отключился перевести секцию в Холостой ход."
9,"В преобразователе сигнал об отсутствии 110 В от автомата ""Управление общее""","Снятие/запрет схемы тяги
(В ТП1(ТП2) нет U от ав. ""Управление общее"")",Отсоединен разъем от ТП,"Проверить автомат Управление общее, разъемы на ТП. Если не помогает выключить все три ОМ данной тележки. Проверить по ДМ отключение размыкателя.
Если размыкатель не отключился перевести секцию в Холостой ход."
9,"В преобразователе сигнал об отсутствии 110 В от автомата ""Управление общее""","Снятие/запрет схемы тяги
(В ТП1(ТП2) нет U от ав. ""Управление общее"")",Неисправна внутренняя проводка или плата ПДВВ САУ ТП,"Проверить автомат Управление общее, разъемы на ТП. Если не помогает выключить все три ОМ данной тележки. Проверить по ДМ отключение размыкателя.
Если размыкатель не отключился перевести секцию в Холостой ход."
10,В преобразователе сигнал о наличии отключенного автомата Вентиляторов ТП,"Снятие/запрет схемы тяги
(В ТП1(ТП2) отключены ав. вентиляторов)",Есть отключенные автоматы,"Проверить состояние автоматов вентиляторов охлаждения ТП и самих мотор-вентиляторов.При неисправности мотора выключить все три ОМ данной тележки,проверить отключение размыкателя в ТП (кадр 3).
Если размыкатель не отключился перевести секцию в Холостой ход.
\"
10,В преобразователе сигнал о наличии отключенного автомата Вентиляторов ТП,"Снятие/запрет схемы тяги
(В ТП1(ТП2) отключены ав. вентиляторов)",Неисправны блокировки,"Проверить состояние автоматов вентиляторов охлаждения ТП и самих мотор-вентиляторов.При неисправности мотора выключить все три ОМ данной тележки,проверить отключение размыкателя в ТП (кадр 3).
Если размыкатель не отключился перевести секцию в Холостой ход.
\"
10,В преобразователе сигнал о наличии отключенного автомата Вентиляторов ТП,"Снятие/запрет схемы тяги
(В ТП1(ТП2) отключены ав. вентиляторов)",Неисправна внутренняя проводка или плата ПДВВ САУ ТП,"Проверить состояние автоматов вентиляторов охлаждения ТП и самих мотор-вентиляторов.При неисправности мотора выключить все три ОМ данной тележки,проверить отключение размыкателя в ТП (кадр 3).
Если размыкатель не отключился перевести секцию в Холостой ход.
\"
11,В преобразователе сигнал о не включении/не отключении разъединителя после подачи сигнала на включение,"Снятие/запрет схемы тяги
(В ТП2 не включен/не отключен размыкатель)",Разъединитель не включился/не отключился,"По кадру 3 контролировать состояние разъединителя. Если разъединитель не включается, то выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3).
Если размыкатель не отключился -перевести секцию в Холостой ход."
11,В преобразователе сигнал о не включении/не отключении разъединителя после подачи сигнала на включение,"Снятие/запрет схемы тяги
(В ТП2 не включен/не отключен размыкатель)",Неисправны блокировки,"По кадру 3 контролировать состояние разъединителя. Если разъединитель не включается, то выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3).
Если размыкатель не отключился -перевести секцию в Холостой ход."
11,В преобразователе сигнал о не включении/не отключении разъединителя после подачи сигнала на включение,"Снятие/запрет схемы тяги
(В ТП2 не включен/не отключен размыкатель)",Неисправна внутренняя проводка или плата ПДВВ САУ ТП,"По кадру 3 контролировать состояние разъединителя. Если разъединитель не включается, то выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3).
Если размыкатель не отключился -перевести секцию в Холостой ход."
12,"В режиме ""ЭДТ"" в УОИ сигнал о давлении воздуха в ТЦ более 0,5 кгс/см2","Разбор схемы ЭДТ
(Включен пневмотормоз)",Есть давление в ТЦ,В режиме ЭДТ использование крана машиниста (условный 215) запрещено.
12,"В режиме ""ЭДТ"" в УОИ сигнал о давлении воздуха в ТЦ более 0,5 кгс/см2","Разбор схемы ЭДТ
(Включен пневмотормоз)",Неисправность цепей датчиков давления,В режиме ЭДТ использование крана машиниста (условный 215) запрещено.
12,"В режиме ""ЭДТ"" в УОИ сигнал о давлении воздуха в ТЦ более 0,5 кгс/см2","Разбор схемы ЭДТ
(Включен пневмотормоз)",Неисправна плата БОАД/ ПВАД/ БПД1 УОИ,В режиме ЭДТ использование крана машиниста (условный 215) запрещено.
13,Наличие сигнала о включении БУ в УОИ обеих секций,"Отключены органы управления
(Включено управление двух кабин)",Обе БУ включены,Проверить правильность включения блокировок управления (ВЦУ).
13,Наличие сигнала о включении БУ в УОИ обеих секций,"Отключены органы управления
(Включено управление двух кабин)",+110В от данной БУ к УОИ,Проверить правильность включения блокировок управления (ВЦУ).
13,Наличие сигнала о включении БУ в УОИ обеих секций,"Отключены органы управления
(Включено управление двух кабин)",Неисправность платы БОДД (ПВДД) данной УОИ,Проверить правильность включения блокировок управления (ВЦУ).
14,"При задании режима ""ЭДТ"" в УОИ сигнал о наличии отключенных ОМ","Разбор схемы ЭДТ и включение режима ""Замещения""
(Включены не все ТЭД)",Есть отключенные ОМ,"Режим ""ЭДТ"" возможен только при включении всех ТЭД."
14,"При задании режима ""ЭДТ"" в УОИ сигнал о наличии отключенных ОМ","Разбор схемы ЭДТ и включение режима ""Замещения""
(Включены не все ТЭД)",Неисправность ОМ,"Режим ""ЭДТ"" возможен только при включении всех ТЭД."
14,"При задании режима ""ЭДТ"" в УОИ сигнал о наличии отключенных ОМ","Разбор схемы ЭДТ и включение режима ""Замещения""
(Включены не все ТЭД)",Обрыв/неисправность проводов к ОМ,"Режим ""ЭДТ"" возможен только при включении всех ТЭД."
14,"При задании режима ""ЭДТ"" в УОИ сигнал о наличии отключенных ОМ","Разбор схемы ЭДТ и включение режима ""Замещения""
(Включены не все ТЭД)",Неисправность платы БОДД (ПВДД) УОИ,"Режим ""ЭДТ"" возможен только при включении всех ТЭД."
15,Отсутствие сигнала о включении БУ в УОИ (в односекционном режиме) или в УОИ на обеих секциях,"Отключены органы управления
(Включите блокировку управления)",БУ отключена,"Выберите главную кабину, включив блок управления (ВЦУ)."
15,Отсутствие сигнала о включении БУ в УОИ (в односекционном режиме) или в УОИ на обеих секциях,"Отключены органы управления
(Включите блокировку управления)",Нет +110В или обрыв провода от БУ к УОИ,"Выберите главную кабину, включив блок управления (ВЦУ)."
15,Отсутствие сигнала о включении БУ в УОИ (в односекционном режиме) или в УОИ на обеих секциях,"Отключены органы управления
(Включите блокировку управления)",Неисправность платы БОДД (ПВДД) УОИ,"Выберите главную кабину, включив блок управления (ВЦУ)."
16,При включении/отключении устройством обработки информации (УОИ) контактора Д1(Д2) сигнал обратной связи о его включении/отключении в УОИ не приходит,"Прекращение запуска дизеля
(Д1(Д2) не включился)",Несправен контактор,Проверить контактор и его блок-контакты.
16,При включении/отключении устройством обработки информации (УОИ) контактора Д1(Д2) сигнал обратной связи о его включении/отключении в УОИ не приходит,"Прекращение запуска дизеля
(Д1(Д2) не включился)",Обрыв провода к катушке контактора или отсутствие +110В,Проверить контактор и его блок-контакты.
16,При включении/отключении устройством обработки информации (УОИ) контактора Д1(Д2) сигнал обратной связи о его включении/отключении в УОИ не приходит,"Прекращение запуска дизеля
(Д1(Д2) не включился)",Неисправность платы БСК (ПВСК) УОИ,Проверить контактор и его блок-контакты.
16,При включении/отключении устройством обработки информации (УОИ) контактора Д1(Д2) сигнал обратной связи о его включении/отключении в УОИ не приходит,"Прекращение запуска дизеля
(Д1(Д2) не включился)",Обрыв провода от блок-контакта,Проверить контактор и его блок-контакты.
16,При включении/отключении устройством обработки информации (УОИ) контактора Д1(Д2) сигнал обратной связи о его включении/отключении в УОИ не приходит,"Прекращение запуска дизеля
(Д1(Д2) не включился)",Неисправность платы БОДД (ПВДД) УОИ,Проверить контактор и его блок-контакты.
16,При включении/отключении устройством обработки информации (УОИ) контактора Д1(Д2) сигнал обратной связи о его включении/отключении в УОИ не приходит,Прекращение запуска дизеля (Д1(Д2) не отключился),Несправен контактор,Проверить контактор и его блок-контакты.
16,При включении/отключении устройством обработки информации (УОИ) контактора Д1(Д2) сигнал обратной связи о его включении/отключении в УОИ не приходит,Прекращение запуска дизеля (Д1(Д2) не отключился),Наличие напряжения +110В на катушке контактора,Проверить контактор и его блок-контакты.
16,При включении/отключении устройством обработки информации (УОИ) контактора Д1(Д2) сигнал обратной связи о его включении/отключении в УОИ не приходит,Прекращение запуска дизеля (Д1(Д2) не отключился),Неисправность платы БСК (ПВСК) УОИ,Проверить контактор и его блок-контакты.
16,При включении/отключении устройством обработки информации (УОИ) контактора Д1(Д2) сигнал обратной связи о его включении/отключении в УОИ не приходит,Прекращение запуска дизеля (Д1(Д2) не отключился),Неисправность блок-контакта,Проверить контактор и его блок-контакты.
16,При включении/отключении устройством обработки информации (УОИ) контактора Д1(Д2) сигнал обратной связи о его включении/отключении в УОИ не приходит,Прекращение запуска дизеля (Д1(Д2) не отключился),Наличие +110В в проводе от блок-контакта к УОИ,Проверить контактор и его блок-контакты.
16,При включении/отключении устройством обработки информации (УОИ) контактора Д1(Д2) сигнал обратной связи о его включении/отключении в УОИ не приходит,Прекращение запуска дизеля (Д1(Д2) не отключился),Неисправность платы БОДД (ПВДД) УОИ,Проверить контактор и его блок-контакты.
17,При отключенном/включенном устройством обработки информации (УОИ) контакторе Д1(Д2) в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение запуска дизеля.
(Д1(Д2) самопроизвольно включился)",Несправен контактор или его блок-контакт,"Проверить контактор и его блок-контакты.
Проверить наличие земли в цепях управления."
17,При отключенном/включенном устройством обработки информации (УОИ) контакторе Д1(Д2) в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение запуска дизеля.
(Д1(Д2) самопроизвольно включился)",Наличие +110В от блок-контакта к УОИ,"Проверить контактор и его блок-контакты.
Проверить наличие земли в цепях управления."
17,При отключенном/включенном устройством обработки информации (УОИ) контакторе Д1(Д2) в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение запуска дизеля.
(Д1(Д2) самопроизвольно включился)",Неисправность платы БСК (ПВСК) УОИ,"Проверить контактор и его блок-контакты.
Проверить наличие земли в цепях управления."
17,При отключенном/включенном устройством обработки информации (УОИ) контакторе Д1(Д2) в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение запуска дизеля.
(Д1(Д2) самопроизвольно включился)",Наличие +110В от блок-контакта к УОИ,"Проверить контактор и его блок-контакты.
Проверить наличие земли в цепях управления."
17,При отключенном/включенном устройством обработки информации (УОИ) контакторе Д1(Д2) в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение запуска дизеля.
(Д1(Д2) самопроизвольно включился)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить контактор и его блок-контакты.
Проверить наличие земли в цепях управления."
17,При отключенном/включенном устройством обработки информации (УОИ) контакторе Д1(Д2) в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение запуска дизеля.
(Д1(Д2) самопроизвольно отключился)",Нет напряжения +110В на катушке контактора,Проверить контактор и его блок-контакты
17,При отключенном/включенном устройством обработки информации (УОИ) контакторе Д1(Д2) в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение запуска дизеля.
(Д1(Д2) самопроизвольно отключился)",Неисправность платы БСК (ПВСК) УОИ,Проверить контактор и его блок-контакты
17,При отключенном/включенном устройством обработки информации (УОИ) контакторе Д1(Д2) в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение запуска дизеля.
(Д1(Д2) самопроизвольно отключился)",Неисправность блок-контакта,Проверить контактор и его блок-контакты
17,При отключенном/включенном устройством обработки информации (УОИ) контакторе Д1(Д2) в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение запуска дизеля.
(Д1(Д2) самопроизвольно отключился)",Отсутствие +110В в проводе от блок-контакта к УОИ,Проверить контактор и его блок-контакты
17,При отключенном/включенном устройством обработки информации (УОИ) контакторе Д1(Д2) в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение запуска дизеля.
(Д1(Д2) самопроизвольно отключился)",Неисправность платы БОДД (ПВДД) УОИ,Проверить контактор и его блок-контакты
18,"В УОИ сигнал о давлении в питательной магистрали менее 7,2 атм.","Предупреждение!
(Давление в питательной магистрали менее 7.2 Атм)","Давление ниже 7,2 атм.","Компрессор в ручном режиме управления и отключен! Проверить состояние тумблера.
Контролировать давление в питательной магистрали по манометру.
Не забудь включить компрессор!"
18,"В УОИ сигнал о давлении в питательной магистрали менее 7,2 атм.","Предупреждение!
(Давление в питательной магистрали менее 7.2 Атм)",Неисправность датчика давления,"Компрессор в ручном режиме управления и отключен! Проверить состояние тумблера.
Контролировать давление в питательной магистрали по манометру.
Не забудь включить компрессор!"
18,"В УОИ сигнал о давлении в питательной магистрали менее 7,2 атм.","Предупреждение!
(Давление в питательной магистрали менее 7.2 Атм)",Неисправность платы БОАД УОИ,"Компрессор в ручном режиме управления и отключен! Проверить состояние тумблера.
Контролировать давление в питательной магистрали по манометру.
Не забудь включить компрессор!"
19,Наличие в УОИ сигнала от КДМ о давлении газов в картере,"Остановка дизеля
(Давление газов в картере дизеля)",Давление газов больше нормы,Проверить уровень жидкости в дифманомере. При отсутствии жидкости запуск дизеля запрещен.
19,Наличие в УОИ сигнала от КДМ о давлении газов в картере,"Остановка дизеля
(Давление газов в картере дизеля)",+110В от КДМ к УОИ,Проверить уровень жидкости в дифманомере. При отсутствии жидкости запуск дизеля запрещен.
19,Наличие в УОИ сигнала от КДМ о давлении газов в картере,"Остановка дизеля
(Давление газов в картере дизеля)",Неисправность платы БОДД (ПВДД) УОИ,Проверить уровень жидкости в дифманомере. При отсутствии жидкости запуск дизеля запрещен.
20,"После режима ""Раскрутки"" в УОИ сигнал о давлении масла меньше 0,5 с датчика ВР1","После режима ""Раскрутки"" переход в режим ""Останов"" (Дизель не запустился)",Давление меньше нормы,"Проверить уровень масла, положение предельного выключателя и воздушной захлопки.."
20,"После режима ""Раскрутки"" в УОИ сигнал о давлении масла меньше 0,5 с датчика ВР1","После режима ""Раскрутки"" переход в режим ""Останов"" (Дизель не запустился)",Обрыв проводов к датчику,"Проверить уровень масла, положение предельного выключателя и воздушной захлопки.."
20,"После режима ""Раскрутки"" в УОИ сигнал о давлении масла меньше 0,5 с датчика ВР1","После режима ""Раскрутки"" переход в режим ""Останов"" (Дизель не запустился)",Неисправен датчик,"Проверить уровень масла, положение предельного выключателя и воздушной захлопки.."
20,"После режима ""Раскрутки"" в УОИ сигнал о давлении масла меньше 0,5 с датчика ВР1","После режима ""Раскрутки"" переход в режим ""Останов"" (Дизель не запустился)",Неисправна плата БОАД/ ПВАД/ БПД1 УОИ,"Проверить уровень масла, положение предельного выключателя и воздушной захлопки.."
21,"При положении ""Нейтраль"" реверсора в УОИ не поступали сигналы от кнопок ""Вперед"" или ""Назад""","Запрет сбора тяги
(Задайте направление движения)",Направление движения не выбрано,"Выбрать направление движения нажатием кнопки ""Вперед"" или ""Назад""."
21,"При положении ""Нейтраль"" реверсора в УОИ не поступали сигналы от кнопок ""Вперед"" или ""Назад""","Запрет сбора тяги
(Задайте направление движения)",Нет +110В в УОИ,"Выбрать направление движения нажатием кнопки ""Вперед"" или ""Назад""."
21,"При положении ""Нейтраль"" реверсора в УОИ не поступали сигналы от кнопок ""Вперед"" или ""Назад""","Запрет сбора тяги
(Задайте направление движения)",Неисправна кнопка,"Выбрать направление движения нажатием кнопки ""Вперед"" или ""Назад""."
21,"При положении ""Нейтраль"" реверсора в УОИ не поступали сигналы от кнопок ""Вперед"" или ""Назад""","Запрет сбора тяги
(Задайте направление движения)",Неисправны провода,"Выбрать направление движения нажатием кнопки ""Вперед"" или ""Назад""."
21,"При положении ""Нейтраль"" реверсора в УОИ не поступали сигналы от кнопок ""Вперед"" или ""Назад""","Запрет сбора тяги
(Задайте направление движения)",Неисправность платы БОДД (ПВДД) УОИ,"Выбрать направление движения нажатием кнопки ""Вперед"" или ""Назад""."
